sample_id,lab_id,sample_type,project_area,anomaly_id,easting,northing,rl,from_m,to_m,interval_m,au_ppm,as_ppm,sb_ppm,bi_ppm,cu_ppm,zn_ppm,pb_ppm,ag_ppm,below_detection
,926.0,rc,Shamkya,An1,498794.926,2144447.1,312.51,22.0,23.0,1.0,0.01,10.8,0.13,0.21,48.4,60.0,5.6,0.13,False
RC.BH19.046,927.0,rc,Shamkya,An1,498794.926,2144447.1,289.51,45.0,46.0,1.0,0.005,1.9,0.07,0.14,41.5,85.0,2.1,0.07,True
RC.BH19.047,928.0,rc,Shamkya,An1,498794.926,2144447.1,288.51,46.0,47.0,1.0,0.005,1.9,0.07,0.17,61.3,55.0,2.0,0.09,True
RC.BH19.048,929.0,rc,Shamkya,An1,498794.926,2144447.1,287.51,47.0,48.0,1.0,0.005,35.3,0.22,0.27,4.3,65.0,2.6,0.01,True
RC.BH19.049,930.0,rc,Shamkya,An1,498794.926,2144447.1,286.51,48.0,49.0,1.0,0.005,71.4,0.31,0.2,1.0,21.0,0.7,0.01,True
RC.BH19.050,931.0,rc,Shamkya,An1,498794.926,2144447.1,285.51,49.0,50.0,1.0,0.01,93.8,0.52,0.26,0.9,22.0,0.6,0.01,False
RC.BH19.051,932.0,rc,Shamkya,An1,498794.926,2144447.1,284.51,50.0,51.0,1.0,0.005,189.0,0.78,0.5,0.9,18.0,0.5,0.01,True
RC.BH19.052,933.0,rc,Shamkya,An1,498794.926,2144447.1,283.51,51.0,52.0,1.0,0.005,59.0,0.24,0.44,1.2,26.0,0.9,0.01,True
RC.BH19.053,934.0,rc,Shamkya,An1,498794.926,2144447.1,282.51,52.0,53.0,1.0,0.005,69.8,0.31,1.19,4.4,30.0,0.9,0.01,True
RC.BH19.054,935.0,rc,Shamkya,An1,498794.926,2144447.1,281.51,53.0,54.0,1.0,0.005,204.0,0.72,0.86,2.4,25.0,1.2,0.01,True
RC.BH19.055,936.0,rc,Shamkya,An1,498794.926,2144447.1,280.51,54.0,55.0,1.0,0.005,68.3,0.31,0.93,4.0,22.0,0.9,0.01,True
RC.BH19.056,937.0,rc,Shamkya,An1,498794.926,2144447.1,279.51,55.0,56.0,1.0,0.005,58.7,0.27,1.04,4.3,22.0,0.9,0.01,True
RC.BH19.057,938.0,rc,Shamkya,An1,498794.926,2144447.1,278.51,56.0,57.0,1.0,0.01,29.5,0.15,2.54,15.3,20.0,0.6,0.01,False
RC.BH19.058,939.0,rc,Shamkya,An1,498794.926,2144447.1,277.51,57.0,58.0,1.0,0.005,17.4,0.11,2.72,16.1,21.0,0.5,0.01,True
RC.BH19.059,940.0,rc,Shamkya,An1,498794.926,2144447.1,276.51,58.0,59.0,1.0,0.005,22.4,0.09,2.05,9.3,32.0,0.7,0.01,True
RC.BH19.060,941.0,rc,Shamkya,An1,498794.926,2144447.1,275.51,59.0,60.0,1.0,0.01,43.1,0.18,1.48,5.4,18.0,0.4,0.01,False
RC.BH19.061,942.0,rc,Shamkya,An1,498794.926,2144447.1,274.51,60.0,61.0,1.0,0.005,22.9,0.1,2.67,11.5,17.0,0.4,0.01,True
RC.BH19.062,943.0,rc,Shamkya,An1,498794.926,2144447.1,273.51,61.0,62.0,1.0,0.005,12.7,0.09,2.11,11.3,21.0,0.5,0.01,True
RC.BH19.063,944.0,rc,Shamkya,An1,498794.926,2144447.1,272.51,62.0,63.0,1.0,0.01,38.1,0.21,2.42,10.8,27.0,0.5,0.01,False
RC.BH19.064,945.0,rc,Shamkya,An1,498794.926,2144447.1,271.51,63.0,64.0,1.0,0.01,97.3,0.47,2.22,7.8,15.0,0.6,0.01,False
RC.BH19.065,946.0,rc,Shamkya,An1,498794.926,2144447.1,270.51,64.0,65.0,1.0,0.005,59.0,0.31,1.93,6.0,11.0,0.5,0.01,True
RC.BH19.066,947.0,rc,Shamkya,An1,498794.926,2144447.1,269.51,65.0,66.0,1.0,0.005,62.4,0.18,2.28,6.8,28.0,0.6,0.01,True
RC.BH19.067,948.0,rc,Shamkya,An1,498794.926,2144447.1,268.51,66.0,67.0,1.0,0.005,60.3,0.21,1.22,3.5,20.0,0.7,0.01,True
RC.BH19.068,949.0,rc,Shamkya,An1,498794.926,2144447.1,267.51,67.0,68.0,1.0,0.01,157.0,0.56,1.37,3.3,19.0,0.6,0.01,False
RC.BH19.069,950.0,rc,Shamkya,An1,498794.926,2144447.1,266.51,68.0,69.0,1.0,0.01,239.0,0.93,0.46,0.5,21.0,0.9,0.01,False
,951.0,rc,Shamkya,An1,498794.926,2144447.1,307.51,27.0,28.0,1.0,0.48,38.0,1.98,1.2,76.4,235.0,26.3,0.7,False
RC.BH19.070,952.0,rc,Shamkya,An1,498794.926,2144447.1,265.51,69.0,70.0,1.0,0.005,160.0,0.59,0.31,0.5,13.0,0.5,0.01,True
RC.BH19.071,953.0,rc,Shamkya,An1,498794.926,2144447.1,264.51,70.0,71.0,1.0,0.01,171.0,0.62,0.77,1.8,13.0,0.6,0.01,False
RC.BH19.072,954.0,rc,Shamkya,An1,498794.926,2144447.1,263.51,71.0,72.0,1.0,0.005,92.5,0.46,2.28,5.9,15.0,0.5,0.01,True
RC.BH19.073,955.0,rc,Shamkya,An1,498794.926,2144447.1,262.51,72.0,73.0,1.0,0.005,193.5,0.74,1.27,3.2,13.0,0.7,0.01,True
RC.BH19.074,956.0,rc,Shamkya,An1,498794.926,2144447.1,261.51,73.0,74.0,1.0,0.005,128.0,0.54,1.09,2.8,11.0,0.6,0.01,True
RC.BH19.075,957.0,rc,Shamkya,An1,498794.926,2144447.1,260.51,74.0,75.0,1.0,0.005,10.4,0.11,1.96,8.5,15.0,0.9,0.01,True
RC.BH19.076,958.0,rc,Shamkya,An1,498794.926,2144447.1,259.51,75.0,76.0,1.0,0.005,15.0,0.11,2.11,9.3,16.0,0.6,0.01,True
RC.BH19.077,959.0,rc,Shamkya,An1,498794.926,2144447.1,258.51,76.0,77.0,1.0,0.01,5.5,0.13,0.45,6.5,58.0,8.6,0.02,False
