sample_id,lab_id,sample_type,project_area,anomaly_id,easting,northing,au_ppm,as_ppm,sb_ppm,bi_ppm,cu_ppm,zn_ppm,pb_ppm,ag_ppm,below_detection
T2-T11-018,AN6/429,trench,Shamkya,An6,,,5.0,0.01,10.6,12.95,3.96,3.1,41.8,2.91,True
T2-T11-019,AN6/430,trench,Shamkya,An6,,,5.0,0.01,10.8,13.05,3.81,2.7,34.8,2.77,True
T2-T11-020,AN6/431,trench,Shamkya,An6,,,5.0,0.01,12.0,15.35,3.72,3.7,25.9,2.52,True
T2-T11-021,AN6/432,trench,Shamkya,An6,,,5.0,0.01,2.0,0.86,1.17,1.5,25.9,0.63,True
T2-T11-022,AN6/433,trench,Shamkya,An6,,,5.0,0.01,0.7,0.56,0.81,1.3,4.7,0.28,True
T2-TR12-001,AN6/434,trench,Shamkya,An6,,,5.0,0.01,3.9,23.8,1.61,1.3,4.8,0.71,True
Duplicate of(T2-TR13-007),AN6/435,trench,Shamkya,An6,,,5.0,0.01,2.4,2.48,2.68,1.2,5.4,0.67,True
Blank,AN6/436,trench,Shamkya,An6,,,5.0,0.01,0.2,0.15,0.36,0.25,6.7,0.19,True
T2-TR12-002,AN6/437,trench,Shamkya,An6,,,5.0,0.01,9.7,17.2,3.26,3.1,15.8,2.16,True
T2-TR12-003,AN6/438,trench,Shamkya,An6,,,5.0,0.01,12.4,13.85,3.69,4.2,22.4,2.84,True
T2-TR12-004,AN6/439,trench,Shamkya,An6,,,5.0,0.01,10.1,13.35,4.89,2.9,55.5,2.36,True
T2-TR12-005,AN6/440,trench,Shamkya,An6,,,5.0,0.01,13.3,16.15,6.55,2.0,43.2,2.25,True
T2-TR12-006,AN6/441,trench,Shamkya,An6,,,5.0,0.01,8.0,3.05,3.97,4.4,68.9,2.35,True
T2-TR12-007,AN6/442,trench,Shamkya,An6,,,5.0,0.01,8.5,4.29,3.87,1.4,37.9,1.36,True
T2-TR12-008,AN6/443,trench,Shamkya,An6,,,5.0,0.01,7.7,9.55,4.28,2.2,9.9,0.71,True
T2-TR12-009,AN6/444,trench,Shamkya,An6,,,5.0,0.02,3.6,11.0,3.39,3.1,8.3,0.59,True
T2-TR12-010,AN6/445,trench,Shamkya,An6,,,5.0,0.01,1.4,1.65,1.01,2.1,4.0,0.35,True
T2-TR12-011,AN6/446,trench,Shamkya,An6,,,5.0,0.01,1.1,3.9,0.74,1.7,3.1,0.35,True
T2-TR12-012,AN6/447,trench,Shamkya,An6,,,10.0,0.01,2.6,9.34,1.2,1.4,3.9,0.65,True
T2-TR12-013,AN6/448,trench,Shamkya,An6,,,5.0,0.01,14.3,15.4,4.0,4.0,3.7,2.64,True
T2-TR12-014,AN6/449,trench,Shamkya,An6,,,5.0,0.01,18.1,13.5,4.73,4.4,1.5,3.03,True
T2-TR12-015,AN6/450,trench,Shamkya,An6,,,5.0,0.01,16.1,12.95,4.91,5.1,4.2,2.78,True
T2-TR13-004,AN6/451,trench,Shamkya,An6,,,5.0,0.01,11.0,7.88,5.01,2.7,7.9,3.09,True
T2-TR13-005,AN6/452,trench,Shamkya,An6,,,5.0,0.01,20.3,3.51,7.83,1.5,6.3,4.75,True
T2-TR13-006,AN6/453,trench,Shamkya,An6,,,5.0,0.01,14.8,3.23,6.89,1.4,8.1,4.01,True
T2-TR13-007,AN6/454,trench,Shamkya,An6,,,5.0,0.01,2.6,2.71,3.01,1.2,5.8,0.76,True
T2-TR13-008,AN6/455,trench,Shamkya,An6,,,5.0,0.01,1.2,3.42,1.32,1.7,6.2,0.42,True
T2-TR13-009,AN6/456,trench,Shamkya,An6,,,5.0,0.01,4.6,2.02,4.44,3.5,13.1,1.4,True
Duplicate of(T2-TR14-025),AN6/457,trench,Shamkya,An6,,,5.0,0.01,3.4,5.83,3.8,3.2,6.6,0.54,True
Blank,AN6/458,trench,Shamkya,An6,,,5.0,0.01,0.1,0.15,0.3,0.25,6.1,0.18,True
T2-TR13-010,AN6/459,trench,Shamkya,An6,,,5.0,0.01,0.9,0.71,1.25,0.9,5.3,0.7,True
T2-TR13-011,AN6/460,trench,Shamkya,An6,,,5.0,0.01,0.9,0.3,1.02,0.9,6.0,0.52,True
T2-TR13-012,AN6/461,trench,Shamkya,An6,,,5.0,0.01,0.4,0.15,0.74,0.25,3.2,0.32,True
T2-TR13-013,AN6/462,trench,Shamkya,An6,,,5.0,0.01,0.6,0.25,0.86,0.7,4.2,0.42,True
T2-TR13-014,AN6/463,trench,Shamkya,An6,,,5.0,0.01,0.9,1.9,0.87,0.5,5.0,0.54,True
T2-TR14-002,AN6/464,trench,Shamkya,An6,,,5.0,0.01,14.5,5.08,2.91,3.1,8.7,2.01,True
T2-TR14-003,AN6/465,trench,Shamkya,An6,,,5.0,0.01,11.5,8.04,3.51,3.6,31.7,2.3,True
T2-TR14-004,AN6/466,trench,Shamkya,An6,,,5.0,0.01,9.4,3.97,3.04,3.2,33.9,1.54,True
T2-TR14-018,AN6/467,trench,Shamkya,An6,,,5.0,0.01,8.6,8.49,3.51,4.1,12.3,1.89,True
T2-TR14-019,AN6/468,trench,Shamkya,An6,,,5.0,0.01,15.0,11.8,4.17,4.2,16.3,2.75,True
