,au_ppm
au_ppm,1.0
sb_ppm,0.46660425113023907
ag_ppm,0.305170207491283
bi_ppm,0.17238745929651278
cu_ppm,0.050891515180427276
pb_ppm,0.04965191547865789
as_ppm,-0.06860762105730281
zn_ppm,-0.25035326687332027
