Analysis of Diamond Drilling Samples for P3-BH-1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63
Serial    No,Sample Discription,,Coordinates,,,,,,Interval (m),,QA/QC,Au,Ag,Al,As,Au,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Fe,Ga,Ge,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr
,Lab ID,Field ID,x,y,Elevation From (m),Elevation To (m),Azimuth,Dip,From,To,,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,%,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm
9,P3/D/BH1-009,S009,498889.544,2144445.838,315.928,314.928,,,19.2,20.2,,0.08,0.1,0.3,25.9,0.04,<10,40,0.85,1.13,1.58,0.12,51.3,9.9,17,0.19,40.2,4.75,1.51,0.09,0.09,0.01,0.163,0.16,26.2,1,0.08,2440,5.73,0.01,<0.05,13.6,180,4.8,6.4,0.001,<0.01,0.19,2.9,0.3,0.7,29.2,<0.01,0.02,9,<0.005,0.05,2.04,20,0.23,7.97,27,2.9
10,P3/D/BH1-010,S010,498889.544,2144445.838,314.928,313.928,,,20.2,21.2,,<0.01,0.06,1.09,6.4,<0.02,<10,50,1.36,0.55,2.89,0.17,54.7,14.4,28,2.9,47.3,4.36,5.11,0.12,0.17,0.01,0.062,0.48,26.8,4.8,0.53,899,3.09,0.02,0.08,18.9,300,6.7,49,0.001,<0.01,0.28,10.2,0.2,1.9,31.2,<0.01,<0.01,10.6,0.04,0.35,2.82,60,0.16,14.45,78,4.1
11,P3/D/BH1-011,S011,498889.544,2144445.838,313.928,312.928,,,21.2,22.2,,0.01,0.09,0.46,6.3,<0.02,<10,40,0.9,0.73,1.33,0.14,63.6,6,14,0.46,36.3,2.76,2.12,0.1,0.14,0.01,0.063,0.27,29.8,1.2,0.12,1090,2.45,0.01,0.06,7.2,160,7.2,14.4,0.001,<0.01,0.19,3.4,<0.2,0.4,22.2,<0.01,0.02,12.3,0.006,0.11,2.03,18,0.19,8.54,26,3.8
12,P3/D/BH1-012,S012,498889.544,2144445.838,312.928,311.928,,,22.2,23.2,,0.01,0.12,0.29,11.4,<0.02,<10,30,1.13,0.9,1.85,0.14,47.9,9.1,8,0.17,168,3.87,1.38,0.09,0.12,<0.01,0.105,0.2,22.7,0.5,0.05,1320,5.89,0.01,0.14,8.5,240,5.4,8.8,0.001,<0.01,0.24,2.6,0.2,0.7,26.8,0.01,0.01,8,<0.005,0.05,1.96,10,0.31,8.56,20,3.5
13,P3/D/BH1-013,S013,498889.544,2144445.838,311.928,310.928,,,23.2,24.2,,<0.01,0.11,1.21,6.3,<0.02,10,50,1.62,1.59,3.49,0.18,39.1,19.1,31,2.59,55.5,5.08,5.06,0.11,0.16,0.01,0.076,0.54,20.1,4.2,0.57,1680,2.78,0.02,0.1,26.2,380,7.2,48.1,<0.001,<0.01,0.3,9.6,0.3,1,61,0.01,0.01,6.9,0.042,0.38,2.46,66,0.15,13.35,69,3.6
14,P3/D/BH1-014,S014,498889.544,2144445.838,310.928,309.928,,,24.2,25.2,,<0.01,0.2,0.87,6.2,<0.02,<10,60,1.04,0.34,2.24,0.5,60.3,11.5,20,1.32,73.5,4.09,3.53,0.11,0.11,0.01,0.066,0.4,29.7,3.2,0.34,1110,1.7,0.02,0.06,15,460,18,32.4,0.001,<0.01,0.27,6.3,<0.2,0.8,31.8,<0.01,0.01,10.6,0.028,0.22,1.78,39,0.16,12.1,80,3.1
15,P3/D/BH1-015,S015,498889.544,2144445.838,309.928,308.928,,,25.2,26.2,,<0.01,0.06,2.88,1.6,<0.02,<10,140,1.02,0.17,3.32,0.13,54.6,27.4,45,8.38,47.8,6.87,12.7,0.21,0.18,0.01,0.067,1.28,26.1,12.2,1.66,965,1.26,0.03,0.05,25.7,1130,6,105.5,0.003,0.02,0.33,19.8,<0.2,1.4,44.3,<0.01,0.01,7,0.193,0.72,0.63,152,0.07,18.55,108,2.8
16,P3/D/BH1-016,S016,,,—,—,,,,,DUPL OF P3/D/BH1-020,0.93,1.52,0.35,41.4,0.42,<10,30,1.4,2.81,5.27,1.26,22.3,15.6,6,0.14,477,4.62,1.3,0.08,0.05,0.01,0.137,0.19,9.5,1.1,0.66,2190,3.45,0.01,<0.05,23.2,640,67.1,7.8,<0.001,<0.01,0.74,3.3,0.9,0.5,59.2,<0.01,0.02,1.4,<0.005,0.08,1.86,9,0.37,16.2,191,1.8
17,P3/D/BH1-017,S017,498889.544,2144445.838,308.928,307.928,,,26.2,27.2,,<0.01,0.1,0.88,6.4,<0.02,<10,80,0.93,0.17,2.74,0.14,49.4,12.2,14,0.56,40.5,4.17,3.54,0.09,0.07,<0.01,0.045,0.26,24.5,3.3,0.36,1170,2.1,0.02,<0.05,11.7,600,5.5,15.7,0.001,<0.01,0.18,5.5,0.2,0.4,34.3,<0.01,0.01,8.5,0.017,0.1,1.49,32,0.13,12.9,53,1.8
18,P3/D/BH1-018,S018,498889.544,2144445.838,307.928,306.928,,,27.2,28.2,,<0.01,0.1,2.08,5.8,<0.02,<10,110,1.51,0.28,3.55,0.21,53.5,23.6,31,4.94,73.1,6.48,9.38,0.16,0.14,<0.01,0.092,0.82,25.9,7.2,1.16,1270,1.64,0.02,<0.05,23.4,1140,6.7,63.8,0.002,0.03,0.3,15.5,0.6,1,46.3,<0.01,0.01,7.1,0.13,0.43,1.21,112,0.13,22,97,2.1
19,P3/D/BH1-019,S019,498889.544,2144445.838,306.928,305.928,,,28.2,29.2,,<0.01,0.07,1.24,17,<0.02,<10,50,2.88,0.25,4.56,0.23,39.6,24.2,12,1.3,28.6,7.69,4.69,0.13,0.07,<0.01,0.065,0.37,19.3,5.7,0.56,1520,1.42,0.02,<0.05,24.2,1150,7,24.9,0.002,0.01,0.33,10.1,2.5,0.9,68.7,<0.01,0.01,5,0.027,0.16,1.95,58,0.34,16.75,116,1.8
20,P3/D/BH1-020,S020,498889.544,2144445.838,305.928,304.928,,,29.2,30.2,QA/QC,0.89,1.55,0.34,42.1,0.49,<10,30,1.4,2.72,5.28,1.2,20.3,16,5,0.14,466,4.77,1.24,0.08,0.05,0.01,0.134,0.18,9.1,1,0.65,2090,3.24,0.01,<0.05,22.9,640,68.6,7.3,0.001,<0.01,0.69,3.3,1.2,0.5,57.9,<0.01,0.03,1.4,<0.005,0.09,1.85,8,0.38,16.55,186,1.8
21,P3/D/BH1-021,S021,,,—,—,,,,,BLANK,<0.01,0.02,0.27,0.8,<0.02,<10,30,0.97,0.03,0.63,0.01,137.5,1.9,18,0.23,24.6,1.39,2.05,0.11,1.75,<0.01,0.006,0.17,86,1.3,0.09,137,9.65,0.06,0.46,5.5,160,29.1,15,0.002,0.05,0.1,0.9,<0.2,1.5,58.9,<0.01,<0.01,107,0.005,0.07,12.1,5,0.12,5.42,8,46.6
22,P3/D/BH1-022,S022,498889.544,2144445.838,304.928,303.928,,,30.2,31.2,,0.12,0.41,0.42,48.9,0.08,<10,60,2.48,0.94,2.97,0.69,68.9,17.2,5,0.35,125.5,8.13,2.42,0.17,0.13,0.01,0.131,0.26,32.3,0.9,0.34,3140,5.48,0.01,0.14,27.2,690,19.4,12,0.001,<0.01,1.03,8.1,0.6,0.3,54.8,<0.01,0.03,5.5,<0.005,0.25,3.14,10,0.36,17.75,154,5.8
23,P3/D/BH1-023,S023,498889.544,2144445.838,303.928,302.928,,,31.2,32.2,,<0.01,0.04,0.75,2.2,<0.02,<10,70,1.94,0.29,1.72,0.26,104.5,1.7,5,1.07,21.1,6.45,5.87,0.2,0.21,<0.01,0.216,0.31,47.4,2.3,0.1,902,2.84,0.02,0.26,3,520,7.5,18.8,<0.001,<0.01,0.29,14.6,0.2,0.9,24.9,0.01,0.02,7.8,0.029,0.12,2.94,2,0.08,23.2,125,9.3
24,P3/D/BH1-024,S024,498889.544,2144445.838,302.928,301.928,,,32.2,33.2,,<0.01,0.03,1.66,0.9,<0.02,<10,190,1.06,0.24,1.54,0.25,101,1.5,5,2.56,13.7,6.14,12.85,0.3,0.3,<0.01,0.208,0.8,42.4,7.1,0.12,853,2.57,0.04,0.51,1.8,580,5.1,57.5,0.001,0.01,0.13,18.4,0.3,1.8,29.2,<0.01,<0.01,6.3,0.146,0.34,1.3,2,0.08,24.6,133,8.9
25,P3/D/BH1-025,S025,498889.544,2144445.838,301.928,300.928,,,33.2,34.2,,<0.01,0.03,1.45,0.8,<0.02,<10,130,1.52,0.34,1.04,0.17,97.9,1.3,4,2.25,13,6.19,11.5,0.3,0.3,<0.01,0.197,0.57,41.8,6.7,0.18,892,2.02,0.03,0.27,1.4,550,7.4,52,0.001,<0.01,0.1,15.7,0.2,1.9,31.5,<0.01,<0.01,10.8,0.106,0.36,1.35,4,<0.05,28.8,141,9.7
26,P3/D/BH1-026,S026,498889.544,2144445.838,300.928,299.928,,,34.2,35.2,,<0.01,0.04,1.61,1.1,<0.02,<10,160,1.16,0.26,1.62,0.29,115,3,10,1.87,15,5.84,11.7,0.31,0.26,<0.01,0.195,0.66,48.5,7.8,0.27,837,2.66,0.05,0.45,4.3,560,5,45.8,0.001,0.04,0.07,16,0.2,1.5,28.6,0.01,0.01,9.6,0.144,0.32,1.26,13,0.06,32.1,152,6.5
27,P3/D/BH1-027,S027,498889.544,2144445.838,299.928,298.928,,,35.2,36.2,,<0.01,0.04,1.98,2.2,<0.02,<10,120,1.3,0.19,2.57,0.31,84.4,10.5,22,2.05,21.3,6.64,12.45,0.28,0.15,<0.01,0.185,0.57,37.4,11.7,0.67,988,3.93,0.03,0.17,19.9,670,5,38.8,<0.001,<0.01,0.16,17.1,0.7,1.3,36.6,<0.01,0.01,4.2,0.09,0.23,1.53,38,0.07,23.7,163,4.9
28,P3/D/BH1-028,S028,498889.544,2144445.838,298.928,297.928,,,36.2,37.2,,<0.01,0.05,0.44,22,<0.02,<10,20,1.53,1.28,8.52,1.83,45.5,3.9,9,0.23,22.5,4.09,2.54,0.12,0.13,<0.01,0.076,0.17,21.1,1.1,0.12,1170,5.87,0.02,0.09,21.3,780,14.9,6.4,0.001,<0.01,0.17,5.4,1,0.7,73.4,0.01,0.09,3.2,<0.005,0.27,1.95,23,0.16,20.6,180,5.7
29,P3/D/BH1-029,S029,498889.544,2144445.838,297.928,296.928,,,37.2,38.2,,<0.01,0.03,1,1,<0.02,<10,50,0.56,0.14,0.66,0.11,85,1.1,4,1.81,8.5,2.85,8.58,0.15,0.17,<0.01,0.106,0.29,40.5,8.1,0.28,331,11.35,0.04,0.37,2.3,340,4.9,19.8,0.001,<0.01,<0.05,3,<0.2,1.7,15.9,<0.01,0.02,5.1,0.066,0.13,0.94,6,0.06,10.95,92,6.6
30,P3/D/BH1-030,S030,498889.544,2144445.838,296.928,295.928,,,38.2,39.2,,<0.01,0.03,1.34,1.2,<0.02,<10,60,0.58,0.19,1.08,0.28,110,1.3,6,1.94,16,4.32,11.15,0.27,0.29,<0.01,0.183,0.43,48.7,11.8,0.26,913,5.41,0.04,0.59,5.5,480,4.1,31.2,<0.001,<0.01,<0.05,4.4,0.3,1.8,26.3,<0.01,0.01,6.3,0.116,0.3,1.33,8,0.08,17,143,12.1
31,P3/D/BH1-031,S031,498889.544,2144445.838,295.928,294.928,,,39.2,40.2,,<0.01,0.02,0.99,3.9,<0.02,<10,40,1.19,0.31,1.61,0.38,94.1,2.2,3,1.06,12.3,6.04,8.59,0.24,0.26,<0.01,0.17,0.22,42.3,6.4,0.16,1220,5.94,0.03,0.3,14.9,390,4.9,11.8,0.001,<0.01,0.19,6.1,0.6,0.8,30.8,<0.01,<0.01,5.7,0.043,0.21,1.81,2,0.06,14.9,213,12.8
