Serial No,Lab ID,Feild ID,Coordinates,Unnamed: 4,Au,Au Check,Au-OG44,ME-ICP41,ME-ICP41.1,ME-ICP41.2,ME-ICP41.3,ME-ICP41.4,ME-ICP41.5,ME-ICP41.6,ME-ICP41.7,ME-ICP41.8,ME-ICP41.9,ME-ICP41.10,ME-ICP41.11,ME-ICP41.12,ME-ICP41.13,ME-ICP41.14,ME-ICP41.15,ME-ICP41.16,ME-ICP41.17,ME-ICP41.18,ME-ICP41.19,ME-ICP41.20,ME-ICP41.21,ME-ICP41.22,ME-ICP41.23,ME-ICP41.24,ME-ICP41.25,ME-ICP41.26,ME-ICP41.27,ME-ICP41.28,ME-ICP41.29,ME-ICP41.30,ME-ICP41.31,ME-ICP41.32,ME-ICP41.33,ME-ICP41.34
,,,,,,,Au,Ag,Al,As,B,Ba,Be,Bi,Ca,Cd,Co,Cr,Cu,Fe,Ga,Hg,K,La,Mg,Mn,Mo,Na,Ni,P,Pb,S,Sb,Sc,Sr,Th,Ti,Tl,U,V,W,Zn
,,,x,y,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,%,ppm,ppm,%,ppm,%,ppm,ppm,%,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm
78.0,620.0,Q078,495427,2123120,Ch,,0.001,<0.2,0.03,6,<10,40,<0.5,<2,0.08,<0.5,9,136,21,3.72,<10,<1,0.01,<10,0.02,348,11,<0.01,56,30,14,<0.01,<2,1,3,<20,<0.01,<10,<10,19,<10,20
79.0,621.0,Q079,495275,2148366,Ch,,0.001,<0.2,0.08,4,<10,30,<0.5,<2,0.1,<0.5,2,110,6,0.53,<10,1,0.06,<10,0.01,145,9,<0.01,8,80,4,<0.01,<2,<1,6,<20,<0.01,<10,<10,10,<10,20
80.0,622.0,Q080,494347,2124425,Ch,,0.001,<0.2,0.06,<2,<10,50,<0.5,<2,0.14,<0.5,2,145,3,0.5,<10,<1,0.02,<10,0.01,210,13,<0.01,5,140,<2,<0.01,<2,<1,5,<20,<0.01,<10,<10,11,<10,10
81.0,623.0,Q081,492574,2146737,Ch,,0.001,<0.2,0.05,14,<10,20,<0.5,<2,2.51,<0.5,12,210,99,1.64,<10,<1,0.02,<10,0.04,417,19,<0.01,27,90,3,<0.01,2,1,14,<20,<0.01,<10,<10,27,<10,17
82.0,624.0,Q082,484174,2136118,Ch,,0.001,<0.2,0.64,9,<10,120,0.8,<2,9.3,<0.5,23,162,36,5.92,<10,1,0.04,<10,0.86,1405,2,<0.01,67,230,10,0.01,<2,24,64,<20,<0.01,<10,<10,138,<10,97
83.0,625.0,Q083,493512,2141484,Ch,,0.001,<0.2,0.76,4,<10,40,3,<2,1.48,<0.5,4,60,19,4.69,<10,<1,0.12,70,0.11,319,9,0.01,20,160,11,<0.01,<2,1,25,<20,<0.01,<10,<10,28,<10,106
84.0,626.0,Q084,485288,2143630,Ch,,0.001,<0.2,0.06,3,<10,50,<0.5,2,0.35,<0.5,<1,136,3,0.33,<10,<1,0.01,<10,<0.01,90,10,<0.01,5,1480,3,<0.01,<2,<1,47,<20,<0.01,<10,<10,8,<10,7
85.0,627.0,Q085,493711,2141182,Ch,,0.001,<0.2,0.02,2,<10,30,<0.5,<2,0.18,<0.5,4,142,59,0.92,<10,<1,<0.01,<10,0.01,201,10,<0.01,11,120,<2,<0.01,<2,<1,4,<20,<0.01,<10,<10,30,<10,8
86.0,628.0,Q086,486828,2141936,Ch,,0.001,<0.2,0.06,<2,<10,110,<0.5,<2,0.09,<0.5,1,136,4,0.5,<10,1,0.03,<10,0.01,83,10,<0.01,6,80,2,<0.01,<2,<1,9,<20,<0.01,<10,<10,10,<10,2
87.0,629.0,Q087,488389,2139789,Ch,,0.01,0.8,0.09,3,<10,40,<0.5,2,0.08,<0.5,2,120,19,0.5,<10,<1,0.05,<10,0.02,95,9,<0.01,8,80,65,<0.01,<2,<1,3,<20,<0.01,<10,<10,11,<10,7
88.0,630.0,Q088,488692,2141522,Ch,,0.001,<0.2,0.13,<2,<10,110,<0.5,<2,0.05,<0.5,5,132,3,0.86,<10,<1,0.02,<10,0.01,151,11,<0.01,11,60,<2,0.04,<2,1,13,<20,<0.01,<10,<10,13,<10,7
89.0,631.0,Q089,495994,2132928,Ch,,0.001,0.4,0.06,2,<10,90,<0.5,<2,0.05,<0.5,2,229,7,0.49,<10,1,0.02,<10,0.01,37,19,<0.01,9,50,2,<0.01,<2,<1,9,<20,<0.01,<10,<10,17,<10,7
90.0,632.0,Q090,487666,2146329,Ch,,0.001,<0.2,0.01,<2,<10,10,<0.5,<2,0.03,<0.5,5,122,4,0.85,<10,<1,<0.01,<10,<0.01,95,10,<0.01,6,10,<2,<0.01,<2,<1,2,<20,<0.01,<10,<10,10,<10,<2
91.0,633.0,Q091,495560,2136144,Ch,,0.001,<0.2,0.14,2,<10,100,<0.5,<2,0.71,<0.5,4,94,10,1.34,<10,<1,0.02,10,0.03,351,7,<0.01,11,280,<2,0.04,<2,3,14,<20,<0.01,<10,<10,25,<10,24
92.0,634.0,Q092,497989,2145904,Ch,,0.001,0.2,0.03,20,<10,30,<0.5,<2,0.1,<0.5,5,101,32,5.12,<10,<1,<0.01,<10,0.03,88,11,<0.01,12,120,<2,0.04,<2,<1,4,<20,<0.01,<10,<10,83,<10,10
93.0,635.0,Q093,494866,2136673,Ch,,0.001,<0.2,0.02,<2,<10,110,<0.5,<2,0.03,<0.5,1,126,2,1.12,<10,<1,0.02,<10,0.01,850,10,<0.01,5,10,<2,<0.01,<2,<1,9,<20,<0.01,<10,<10,13,<10,5
94.0,636.0,Q094,490589,2147673,Ch,,0.05,1,0.1,320,<10,40,<0.5,36,0.14,<0.5,10,94,86,10.15,<10,<1,0.02,<10,0.02,144,8,<0.01,35,180,333,0.03,<2,1,24,<20,<0.01,<10,<10,63,<10,37
95.0,637.0,Q095,482416,2140240,Ch,,0.001,<0.2,0.19,2,<10,180,<0.5,<2,2.86,<0.5,4,65,43,1.96,<10,<1,0.03,20,0.09,1050,5,<0.01,9,590,3,0.02,<2,5,34,<20,<0.01,<10,<10,31,<10,28
96.0,638.0,Q096,490905,2147480,Ch,,0.001,<0.2,0.07,<2,<10,30,<0.5,<2,0.11,<0.5,1,118,4,0.45,<10,<1,0.02,<10,0.02,88,9,<0.01,5,30,3,<0.01,<2,1,5,<20,<0.01,<10,<10,11,<10,8
97.0,639.0,Q097,481451,2139771,Ch,,0.001,0.2,0.03,16,<10,20,<0.5,<2,0.07,<0.5,1,118,23,0.57,<10,<1,0.02,<10,0.01,32,9,<0.01,5,80,19,<0.01,<2,<1,5,<20,<0.01,<10,<10,7,<10,4
98.0,640.0,Q098,492208,2144867,Ch,,0.03,<0.2,0.06,7,<10,20,<0.5,<2,0.14,0.7,2,149,26,0.48,<10,<1,0.02,<10,0.02,105,10,<0.01,15,120,3,<0.01,<2,<1,7,<20,<0.01,<10,<10,15,<10,56
99.0,641.0,Q099,481430,2125906,Ch,,3.58,>100,0.38,60,<10,40,<0.5,540,0.03,<0.5,8,110,3930,7.33,<10,<1,0.03,<10,0.17,769,9,<0.01,8,480,>10000,0.32,<2,3,10,<20,<0.01,<10,<10,87,<10,178
100.0,642.0,Q100,498202,2143491,Ch,,0.01,0.2,0.06,<2,<10,20,<0.5,3,1.78,<0.5,1,103,10,0.72,<10,<1,0.02,<10,0.02,286,10,<0.01,4,10,17,<0.01,<2,<1,8,<20,<0.01,<10,<10,8,<10,11
101.0,643.0,Q101,485222,2126585,Ch,,0.73,2,0.1,29,<10,50,<0.5,11,0.03,<0.5,5,111,126,7.17,<10,<1,0.02,<10,0.01,341,11,<0.01,17,240,180,0.02,<2,2,9,<20,<0.01,<10,<10,37,<10,134
102.0,644.0,Q102,498145,2143435,Ch,,0.001,<0.2,0.06,<2,<10,50,<0.5,<2,2.05,<0.5,3,168,3,0.58,<10,1,0.03,<10,0.02,578,14,<0.01,6,160,<2,<0.01,2,<1,25,<20,<0.01,<10,<10,13,<10,<2
103.0,645.0,Q103,463017,2102436,Ch,,0.001,<0.2,0.02,9,<10,40,<0.5,<2,0.06,<0.5,4,138,41,2.01,<10,<1,<0.01,<10,0.01,83,14,<0.01,12,90,<2,0.02,<2,<1,3,<20,<0.01,<10,<10,15,<10,3
104.0,646.0,Q104,497911,2144085,Ch,,0.01,1.1,0.11,67,<10,20,<0.5,12,0.28,<0.5,16,127,300,4.41,<10,<1,0.01,<10,0.02,154,12,<0.01,20,90,22,0.04,<2,1,8,<20,<0.01,<10,<10,47,<10,114
105.0,647.0,Q105,454672,2110547,Ch,,0.001,<0.2,0.03,9,<10,100,<0.5,<2,0.04,<0.5,7,144,24,3.31,<10,<1,0.02,<10,0.01,495,14,<0.01,30,40,<2,0.01,<2,1,5,<20,<0.01,<10,<10,22,<10,18
106.0,648.0,Q106,496390,2147000,Ch,,0.001,<0.2,0.05,2,<10,40,<0.5,<2,0.13,<0.5,5,141,4,3.04,<10,<1,<0.01,<10,0.02,138,11,<0.01,7,80,2,0.11,<2,<1,11,<20,<0.01,<10,<10,30,<10,2
107.0,649.0,Q107,454661,2110533,Ch,,0.001,<0.2,0.05,2,<10,20,<0.5,<2,0.06,<0.5,2,186,8,0.82,<10,<1,0.03,<10,0.01,130,20,<0.01,8,140,<2,0.01,<2,<1,10,<20,<0.01,<10,<10,11,<10,10
108.0,650.0,Q108,496367,2146933,Ch,,7.49,2.2,0.17,360,<10,100,0.8,105,1.71,<0.5,14,195,448,7.38,<10,<1,0.06,<10,0.06,985,18,0.01,29,60,51,0.04,<2,2,17,<20,<0.01,<10,<10,80,<10,104
109.0,651.0,Q109,471631,2111537,Ch,,0.01,<0.2,0.15,12,<10,40,<0.5,<2,0.06,<0.5,2,155,7,0.53,<10,<1,0.11,<10,0.01,134,16,0.01,7,50,3,0.02,<2,<1,5,<20,<0.01,<10,<10,11,<10,6
110.0,652.0,Q110,495387,2140083,Ch,,0.12,1,0.06,28,<10,70,<0.5,73,0.28,<0.5,7,134,237,5.21,<10,<1,0.02,<10,0.03,953,12,0.01,12,30,7,0.01,<2,1,7,<20,<0.01,<10,<10,44,<10,44
111.0,653.0,Q111,471659,2111536,Ch,,0.02,0.2,0.03,164,<10,20,<0.5,<2,0.05,<0.5,4,138,33,2.03,<10,<1,<0.01,<10,0.01,110,13,<0.01,7,110,5,0.01,<2,<1,6,<20,<0.01,<10,<10,10,<10,3
112.0,654.0,Q112,494420,2140664,Ch,,14.3,1,0.06,46,<10,70,<0.5,527,0.21,<0.5,5,118,8,10.25,<10,<1,0.03,10,0.01,1560,12,0.01,7,20,25,0.07,<2,2,6,<20,<0.01,<10,<10,11,<10,72
113.0,655.0,Q113,498217,2149600,Ch,,1.23,0.5,0.06,<2,<10,20,<0.5,78,0.05,<0.5,23,215,328,3.21,<10,<1,0.01,<10,0.01,135,13,<0.01,67,50,12,0.01,<2,<1,3,<20,<0.01,<10,<10,28,<10,3
114.0,656.0,Q114,493649,2140500,Ch,,0.44,<0.2,0.3,8,<10,60,<0.5,<2,0.62,<0.5,5,158,33,1.47,<10,<1,0.02,<10,0.2,535,14,0.01,16,90,5,0.01,<2,2,10,<20,<0.01,<10,<10,28,<10,25
115.0,657.0,Q115,498101,2149621,Ch,,0.25,0.5,0.05,2,<10,20,<0.5,42,0.04,<0.5,7,176,90,1.26,<10,<1,0.01,<10,0.01,101,17,<0.01,23,80,10,0.01,<2,<1,3,<20,<0.01,<10,<10,16,<10,2
116.0,658.0,Q116,497428,2148454,Ch,,0.001,<0.2,0.04,<2,<10,10,<0.5,<2,0.2,<0.5,<1,138,4,0.29,<10,<1,<0.01,<10,0.02,154,11,0.01,9,10,<2,<0.01,<2,<1,2,<20,<0.01,<10,<10,8,<10,3
117.0,659.0,Q117,481766,2139707,Ch,,0.001,<0.2,0.37,3,<10,130,<0.5,<2,0.21,<0.5,3,110,16,1.16,<10,<1,0.07,10,0.03,202,10,0.01,11,250,4,0.04,<2,2,10,<20,<0.01,<10,<10,17,<10,12
118.0,660.0,Q118,493679,2140502,Ch,,0.001,<0.2,0.01,<2,<10,10,<0.5,<2,0.01,<0.5,1,128,5,0.3,<10,<1,<0.01,<10,<0.01,70,11,<0.01,6,10,<2,<0.01,<2,<1,1,<20,<0.01,<10,<10,7,<10,2
119.0,661.0,Q119,481409,2138789,Ch,,0.001,<0.2,0.02,4,<10,20,<0.5,<2,0.03,<0.5,2,193,19,0.78,<10,<1,0.01,<10,0.01,129,17,<0.01,12,30,<2,<0.01,<2,<1,2,<20,<0.01,<10,<10,11,<10,3
120.0,662.0,Q120,493708,2140499,Ch,,3.71,12.1,0.12,7,<10,140,0.6,108,0.66,<0.5,9,186,>10000,3.92,<10,<1,0.07,10,0.03,1530,20,0.01,15,90,337,0.03,<2,2,19,<20,<0.01,<10,<10,126,<10,69
121.0,663.0,Q121,494077,2134495,Ch,,0.01,0.2,0.05,2,<10,10,<0.5,<2,0.23,<0.5,3,121,114,0.28,<10,<1,<0.01,<10,0.04,46,10,<0.01,9,10,2,<0.01,<2,<1,3,<20,<0.01,<10,<10,10,<10,6
122.0,664.0,Q122,491449,2142616,Ch,,0.001,0.2,0.01,2,<10,20,<0.5,<2,0.03,<0.5,2,148,5,0.38,<10,1,0.01,<10,<0.01,74,12,<0.01,4,30,<2,<0.01,2,<1,2,<20,<0.01,<10,<10,18,<10,<2
123.0,665.0,Q123,493866,2134807,Ch,,0.82,6.8,0.08,25,<10,50,<0.5,17,0.02,<0.5,9,126,283,3.07,<10,<1,0.04,<10,0.01,551,13,<0.01,35,60,100,0.03,<2,1,6,<20,<0.01,<10,<10,18,<10,74
124.0,666.0,Q124,493899,2134708,Ch,,0.01,<0.2,0.03,<2,<10,30,<0.5,<2,0.71,<0.5,2,151,22,0.51,<10,1,0.01,<10,0.09,177,13,<0.01,6,40,<2,<0.01,<2,<1,9,<20,<0.01,<10,<10,14,<10,4
125.0,667.0,Q125,494062,2146801,Ch,,0.001,<0.2,0.18,2,<10,120,0.6,<2,0.04,<0.5,5,103,50,1.9,<10,<1,0.08,30,0.02,544,11,<0.01,10,70,3,<0.01,<2,1,6,<20,<0.01,<10,<10,15,<10,19
126.0,668.0,Q126,497073,2146817,Ch,,0.001,<0.2,0.02,<2,<10,30,<0.5,<2,0.83,<0.5,1,150,3,0.32,<10,1,0.01,<10,0.01,150,13,<0.01,5,50,<2,<0.01,<2,<1,9,<20,<0.01,<10,<10,9,<10,<2
127.0,669.0,Q127,498925,2144325,Ch,,0.05,0.3,0.15,6,<10,100,0.6,<2,0.04,<0.5,12,61,194,2.91,<10,<1,0.08,40,0.02,959,7,0.01,14,100,19,<0.01,<2,2,9,<20,<0.01,<10,<10,24,<10,46
128.0,670.0,Q128,497228,2146869,Ch,,0.001,<0.2,0.03,8,<10,100,<0.5,<2,1.23,<0.5,3,157,15,1.14,<10,<1,0.02,<10,0.1,311,14,<0.01,11,10,<2,<0.01,<2,<1,10,<20,<0.01,<10,<10,21,<10,12
129.0,671.0,Q129,498930,2144344,Ch,,0.001,<0.2,0.36,4,<10,60,1.6,<2,0.33,<0.5,11,116,26,5.23,<10,<1,0.03,10,0.06,265,7,<0.01,40,450,3,0.07,3,10,15,<20,0.01,<10,<10,88,<10,55
130.0,672.0,Q130,497330,2146841,Ch,,0.001,<0.2,0.02,<2,<10,40,<0.5,<2,0.11,<0.5,2,121,12,0.37,<10,<1,<0.01,<10,0.01,84,9,<0.01,11,20,<2,0.01,<2,<1,3,<20,<0.01,<10,<10,10,<10,7
131.0,673.0,Q131,498962,2144428,Ch,,0.99,1,0.18,5,<10,50,<0.5,9,0.16,<0.5,12,103,189,2.58,<10,<1,0.03,10,0.01,382,9,<0.01,12,60,40,0.03,<2,2,7,<20,<0.01,<10,<10,28,<10,40
132.0,674.0,Q132,497934,2146971,Ch,,0.001,<0.2,0.03,<2,<10,40,<0.5,<2,0.05,<0.5,2,184,7,0.85,<10,<1,0.02,<10,0.01,268,16,<0.01,7,90,10,0.02,<2,1,4,<20,<0.01,<10,<10,12,<10,8
133.0,675.0,Q133,497373,2147005,Ch,,0.001,<0.2,0.02,<2,<10,10,<0.5,<2,0.03,<0.5,1,169,5,0.36,<10,1,0.01,<10,<0.01,36,14,<0.01,6,10,<2,<0.01,<2,<1,1,<20,<0.01,<10,<10,9,<10,<2
134.0,676.0,Q134,498920,2144487,Ch,,0.001,1.3,0.07,28,<10,70,<0.5,3,0.11,<0.5,16,200,186,8.9,<10,1,0.02,<10,0.02,162,18,<0.01,15,120,23,0.09,<2,<1,11,<20,<0.01,<10,<10,59,<10,23
135.0,677.0,Q135,497963,2147040,Ch,,0.01,<0.2,0.02,2,<10,10,<0.5,<2,0.12,<0.5,1,172,5,0.31,<10,<1,0.01,<10,<0.01,149,14,<0.01,12,10,<2,<0.01,<2,<1,2,<20,<0.01,<10,<10,9,<10,2
136.0,678.0,Q136,497958,2147049,Ch,,0.001,<0.2,0.05,<2,<10,70,1,<2,0.02,<0.5,1,140,4,1.52,<10,<1,0.04,<10,<0.01,37,11,<0.01,4,80,2,0.01,<2,<1,3,<20,<0.01,<10,<10,9,<10,7
137.0,679.0,Q137,498805,2144487,Ch,,0.001,<0.2,0.02,7,<10,10,<0.5,<2,0.04,<0.5,3,232,37,0.74,<10,<1,0.01,<10,<0.01,43,21,<0.01,21,10,2,<0.01,<2,<1,2,<20,<0.01,<10,<10,13,<10,6
138.0,680.0,Q138,497688,2146687,Ch,,0.001,<0.2,0.09,<2,<10,190,<0.5,<2,0.19,<0.5,3,101,5,0.63,<10,<1,0.02,<10,0.01,64,8,<0.01,7,540,<2,0.02,2,1,14,<20,<0.01,<10,<10,11,<10,5
139.0,681.0,Q139,499886,2131567,Ch,,0.001,<0.2,0.03,2,<10,10,<0.5,<2,0.02,<0.5,1,199,5,0.42,<10,<1,0.01,<10,<0.01,54,17,<0.01,6,30,<2,<0.01,<2,<1,1,<20,<0.01,<10,<10,10,<10,2
140.0,682.0,Q140,497765,2146658,Ch,,4.82,4.8,0.05,7,<10,20,<0.5,118,0.08,<0.5,3,84,3130,11.5,<10,<1,0.02,<10,0.01,707,8,<0.01,6,50,27,0.05,<2,1,5,<20,<0.01,<10,<10,10,<10,33
141.0,683.0,Q141,502547,2130854,Ch,,0.01,<0.2,0.02,<2,<10,20,<0.5,<2,0.99,<0.5,1,106,9,0.25,<10,<1,<0.01,<10,0.01,85,9,<0.01,3,10,<2,0.01,<2,<1,6,<20,<0.01,<10,<10,7,<10,<2
142.0,684.0,Q142,502195,2131099,Ch,,0.07,<0.2,0.18,20,<10,40,0.5,<2,0.08,<0.5,2,39,563,3.56,<10,<1,0.14,30,0.01,321,4,0.01,3,70,2,0.01,<2,1,6,<20,<0.01,<10,<10,10,<10,9
143.0,685.0,Q143,502165,2131120,Ch,,0.001,<0.2,0.01,<2,<10,<10,<0.5,<2,0.03,<0.5,<1,136,5,0.19,<10,<1,<0.01,<10,<0.01,19,10,<0.01,5,<10,<2,<0.01,<2,<1,1,<20,<0.01,<10,<10,7,<10,<2
144.0,686.0,Q144,501990,2131257,Ch,,0.02,0.3,0.4,23,<10,130,1.5,3,0.12,<0.5,8,67,9,6.18,<10,1,0.25,20,0.03,1870,7,<0.01,12,130,8,0.02,2,3,16,<20,<0.01,<10,<10,31,<10,10
145.0,687.0,Q145,495570,2136086,Ch,,0.01,<0.2,0.32,28,<10,250,0.8,<2,0.54,<0.5,13,55,10,3.66,<10,<1,0.05,10,0.05,757,4,<0.01,19,310,5,0.02,4,6,17,<20,0.01,<10,<10,75,<10,30
146.0,688.0,Q146,495558,2136137,Ch,,0.54,0.3,0.36,30,<10,40,0.9,4,0.13,<0.5,1,23,2360,4.04,<10,<1,0.19,20,0.05,78,28,0.05,6,200,212,0.02,3,1,37,<20,<0.01,<10,<10,18,<10,101
147.0,689.0,Q147,490484,2132361,Ch,,0.01,<0.2,0.4,25,<10,110,0.7,<2,4.68,<0.5,8,43,4,3.8,<10,1,0.1,10,0.16,609,2,0.01,20,450,5,0.02,5,8,31,<20,0.01,<10,<10,77,<10,21
148.0,690.0,Q148,487882,2132262,Ch,,3.58,2.6,0.23,106,<10,50,0.9,18,0.05,<0.5,7,89,446,9.02,<10,1,0.08,10,0.02,376,61,0.01,28,100,354,0.03,10,2,17,<20,<0.01,<10,<10,51,<10,241
149.0,691.0,Q149,480602,2131915,Ch,,0.01,<0.2,0.01,2,<10,10,<0.5,<2,0.05,<0.5,2,126,3,0.29,<10,1,<0.01,<10,<0.01,50,10,<0.01,5,10,<2,<0.01,<2,<1,1,<20,<0.01,<10,<10,9,<10,<2
150.0,692.0,Q150,480644,2131916,Ch,,3.71,1.2,0.19,98,<10,40,0.8,16,0.3,<0.5,9,74,205,6.35,<10,<1,0.09,80,0.02,498,113,0.01,22,140,548,0.01,6,2,12,<20,<0.01,<10,<10,53,<10,214
151.0,693.0,Q151,481772,2133680,Ch,,0.01,<0.2,0.54,41,<10,100,0.8,<2,0.63,<0.5,11,76,5,4.17,<10,<1,0.06,10,0.06,553,4,0.01,38,480,6,0.03,3,9,18,<20,0.01,<10,<10,91,<10,44
152.0,694.0,Q152,481792,2133717,Ch,,1.73,2.8,0.1,57,<10,30,<0.5,17,0.06,<0.5,5,104,195,9.79,<10,<1,0.05,30,0.02,5010,41,<0.01,17,80,136,0.02,7,3,19,<20,<0.01,<10,<10,21,<10,96
153.0,695.0,Q153,481752,2133702,Ch,,0.01,<0.2,0.05,6,<10,20,<0.5,<2,0.16,<0.5,4,138,17,0.79,<10,<1,0.01,<10,0.01,154,12,<0.01,9,150,2,0.01,<2,1,3,<20,<0.01,<10,<10,22,<10,3
154.0,696.0,Q154,482171,2136269,Ch,,3.36,2.7,0.3,118,<10,70,0.7,9,0.05,<0.5,10,57,322,4.71,<10,1,0.2,260,0.02,2210,34,0.01,20,290,144,0.01,3,1,19,30,<0.01,<10,<10,33,<10,88
155.0,697.0,Q155,486742,2110788,Ch,,0.78,19.3,0.1,83,10,30,8.1,15,0.1,<0.5,10,110,>10000,10.5,<10,<1,0.03,<10,0.02,238,20,<0.01,93,160,60,0.05,<2,3,8,<20,<0.01,<10,<10,21,<10,309
156.0,698.0,Q156,456540,2112347,Ch,,4.67,0.7,0.07,16,<10,20,<0.5,2,0.01,<0.5,2,131,26,0.56,<10,<1,0.04,<10,0.01,54,11,<0.01,7,10,14,0.01,<2,<1,3,<20,<0.01,<10,<10,10,<10,8
157.0,699.0,Q157,494022,2137251,Ch,,0.92,5.3,0.24,31,<10,30,0.5,8,0.09,<0.5,8,131,1470,7.06,<10,<1,0.07,<10,0.05,178,14,0.01,22,350,52,0.03,2,2,8,<20,<0.01,<10,<10,28,<10,159
158.0,700.0,Q158,494020,2137272,Ch,,0.01,<0.2,0.56,18,<10,240,1.5,3,0.46,<0.5,49,74,112,7.39,<10,1,0.09,10,0.11,1355,4,0.04,161,600,11,0.01,<2,17,40,<20,<0.01,<10,<10,129,<10,127
159.0,701.0,Q159,493489,2142217,Ch,,0.001,<0.2,0.41,35,<10,330,1.2,<2,0.38,<0.5,46,88,68,5.22,<10,<1,0.1,10,0.09,1430,9,0.04,78,260,21,0.02,2,8,33,<20,<0.01,<10,<10,77,<10,152
160.0,702.0,Q160,493582,2142104,Ch,,0.001,0.2,0.23,22,<10,110,0.8,4,0.1,<0.5,14,87,16,4.29,<10,<1,0.07,10,0.03,936,8,0.01,29,260,349,0.01,2,5,17,<20,<0.01,<10,<10,53,<10,194
161.0,703.0,Q161,495944,2142986,Ch,,0.03,0.3,0.06,31,<10,30,<0.5,<2,0.02,<0.5,1,112,9,1.14,<10,<1,0.03,<10,<0.01,210,13,<0.01,6,80,5,0.12,<2,<1,10,<20,<0.01,<10,<10,7,<10,6
162.0,704.0,Q162,495997,2143022,Ch,,0.02,<0.2,0.08,39,<10,30,<0.5,<2,0.02,<0.5,3,143,6,1.15,<10,<1,0.05,<10,0.01,176,19,<0.01,9,60,7,0.04,<2,<1,8,<20,<0.01,<10,<10,9,<10,13
163.0,705.0,Q163,496912,2145285,Ch,,0.09,0.2,0.1,41,<10,40,<0.5,<2,0.02,<0.5,2,150,8,0.87,<10,<1,0.05,<10,0.01,80,14,<0.01,6,30,5,0.09,<2,<1,10,<20,<0.01,<10,<10,11,<10,14
164.0,706.0,Q164,496047,2147670,Ch,,0.89,21.6,0.1,80,<10,90,<0.5,130,0.03,<0.5,2,132,270,5.42,<10,<1,0.01,<10,0.01,102,14,0.01,7,120,509,0.06,<2,1,8,<20,<0.01,<10,<10,44,<10,52
165.0,707.0,Q165,496762,2125820,Ch,,0.96,19.4,0.09,80,10,30,7.8,13,0.1,<0.5,10,106,>10000,9.92,<10,<1,0.03,<10,0.02,236,19,<0.01,88,160,62,0.05,3,3,8,<20,<0.01,<10,<10,20,<10,293
166.0,708.0,Q166,489993,2145065,Ch,,2.29,14.2,0.09,15,<10,110,0.7,147,0.04,<0.5,10,80,1630,8.94,<10,<1,0.02,<10,0.01,740,6,<0.01,23,130,104,0.09,<2,2,13,<20,<0.01,<10,<10,20,<10,243
167.0,709.0,Q167,489673,2145365,Ch,,0.01,<0.2,0.02,19,<10,30,<0.5,<2,0.24,<0.5,2,144,18,1.11,<10,<1,0.01,<10,0.02,345,12,<0.01,9,80,2,0.02,<2,1,5,<20,<0.01,<10,<10,31,<10,4
168.0,710.0,Q168,489659,2145566,Ch,,0.01,4.2,0.06,58,<10,140,<0.5,7,0.09,<0.5,17,140,184,7.2,<10,<1,0.01,<10,0.01,49,18,<0.01,13,170,71,0.06,<2,<1,14,<20,<0.01,<10,<10,19,<10,43
169.0,711.0,Q169,489041,2146412,Ch,,0.01,0.3,0.05,179,<10,90,<0.5,3,0.1,<0.5,7,176,72,5.53,<10,<1,0.01,<10,0.02,785,17,<0.01,64,80,19,0.03,2,1,6,<20,<0.01,<10,<10,24,<10,39
170.0,712.0,Q170,488219,2146634,Ch,,0.19,1.3,0.02,87,<10,30,<0.5,119,0.09,<0.5,6,175,28,2.84,<10,<1,<0.01,<10,0.01,377,17,<0.01,30,60,59,0.02,<2,<1,5,<20,<0.01,<10,<10,12,<10,7
171.0,713.0,Q171,489673,2145365,Ch,,0.001,<0.2,2.16,2,<10,220,0.7,4,0.26,<0.5,20,111,70,5.87,10,<1,1.13,10,0.86,494,7,0.01,38,370,2,0.18,<2,10,57,<20,0.29,<10,<10,155,<10,129
172.0,714.0,Q172,489659,2145566,Ch,,0.02,<0.2,0.02,<2,<10,20,<0.5,<2,0.03,<0.5,3,134,35,0.66,<10,<1,0.01,<10,<0.01,128,13,<0.01,13,10,<2,0.08,<2,<1,2,<20,<0.01,<10,<10,9,<10,5
173.0,715.0,Q173,489041,2146412,Ch,,0.001,<0.2,1.24,4,<10,150,2.8,<2,0.28,0.9,39,109,131,13.2,10,<1,0.48,10,0.37,478,7,0.01,138,880,5,0.03,<2,7,30,<20,0.11,<10,<10,165,<10,219
174.0,716.0,Q174,488219,2146634,Ch,,0.001,<0.2,0.21,<2,<10,110,0.5,<2,0.14,<0.5,4,82,33,1.38,<10,1,0.11,50,0.03,357,8,0.03,9,80,2,0.01,<2,1,10,<20,<0.01,<10,<10,12,<10,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175.0,717.0,Q175,,,Ch,,0.01,<0.2,0.07,<2,<10,50,<0.5,<2,0.09,<0.5,1,154,4,0.37,<10,<1,0.04,<10,0.01,242,12,<0.01,8,40,5,0.01,<2,<1,3,<20,<0.01,<10,<10,9,<10,2
