Field No,lab Serial,Prospect,Type,x,y,z,Depth(m),Unnamed: 8,QA/QC,Au,Ag,Al,As,Au.1,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Fe,Ga,Ge,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr
,,,,,,,From,To,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,901.0,JAT-P3,QA/QC,498794.926,2144447.1,321.512,13,14,Duplicate of RC.BH19.014,0.01,0.07,0.68,2.7,<0.02,<10,110,0.89,0.35,3.32,0.45,40.7,4.6,118.0,0.3,23.1,2.44,2.83,0.1,0.13,0.01,0.147,0.23,21,1.8,0.16,1050.0,10.6,0.04,0.15,6.9,190,9.4,13.2,0.001,<0.01,0.08,1.8,0.3,2,37.7,<0.01,<0.01,15.3,0.007,0.14,1.82,17,0.82,16.95,55.0,3.4
RC.BH19.023,902.0,JAT-P3,RC,498794.926,2144447.1,312.51,22,23,,0.01,0.12,0.58,9.9,<0.02,<10,50,0.91,0.19,2.84,0.28,75.4,6.8,100.0,0.15,47.5,2.48,1.88,0.1,0.09,0.01,0.047,0.25,40.1,1.2,0.06,1350.0,11.55,0.01,0.08,8.8,430,5.0,9.5,0.001,<0.01,0.14,1.9,0.3,0.2,36.8,<0.01,<0.01,9.7,<0.005,0.06,1.5,7,0.6,7.01,58.0,3.1
RC.BH19.024,903.0,JAT-P3,RC,498794.926,2144447.1,311.51,23,24,,0.02,0.23,0.49,22.5,<0.02,<10,40,0.85,1.37,3.65,0.83,46.4,11.2,106.0,0.15,61.3,3.22,1.78,0.09,0.07,<0.01,0.074,0.27,22.8,2.2,0.13,1580.0,11.55,0.01,0.09,16.3,250,35.0,10.5,0.002,<0.01,0.13,3.6,0.8,0.2,44.7,<0.01,<0.01,6.9,<0.005,0.06,1.52,7,0.52,8.05,96.0,2.6
RC.BH19.025,904.0,JAT-P3,RC,498794.926,2144447.1,310.51,24,25,,0.01,0.27,0.62,53.9,<0.02,<10,50,0.98,0.4,5.87,0.35,26.6,29.0,62.0,0.12,43.8,6.23,2.0,0.13,0.08,<0.01,0.069,0.37,12,2.6,0.68,2300.0,8.91,0.01,0.11,31.3,520,6.6,12.8,0.001,0.01,0.3,7.3,0.9,0.4,67.7,0.01,<0.01,3,0.01,0.08,1.79,22,0.67,9.41,71.0,2
RC.BH19.026,905.0,JAT-P3,RC,498794.926,2144447.1,309.51,25,26,,0.29,0.6,0.39,27.4,0.24,<10,50,1.02,3.3,2.92,0.85,31.4,12.0,125.0,0.22,31.4,3.83,2.06,0.09,0.13,0.01,0.096,0.27,15.1,1.6,0.08,2840.0,21.6,0.01,0.19,18.1,130,32.2,11.7,0.001,0.01,0.65,2.7,1,0.5,38.0,<0.01,<0.01,3.7,<0.005,0.13,1.99,13,0.77,8.75,145.0,4.2
RC.BH19.027,906.0,JAT-P3,RC,498794.926,2144447.1,308.51,26,27,,0.4,0.37,0.57,43.7,0.42,<10,80,1.81,1.44,3.16,0.83,105,16.1,106.0,0.36,56.8,5.63,2.91,0.18,0.12,0.01,0.099,0.36,51.6,2.6,0.06,1460.0,22.0,0.01,0.22,21.8,780,19.0,17.4,0.002,0.01,0.9,4.7,1.1,0.8,66.0,0.01,0.02,7.7,<0.005,0.26,3.05,13,0.67,15.85,220.0,5.4
,907.0,JAT-P3,QA/QC,498794.926,2144447.1,,,,BLANK SAMPLE,<0.01,0.01,0.28,0.3,<0.02,<10,10,0.28,0.02,0.04,<0.01,2.82,0.6,118.0,0.12,2.0,0.35,0.98,<0.05,0.16,<0.01,0.005,0.27,1.6,0.3,0.01,51.0,9.46,0.03,0.17,2.7,10,12.0,11.9,<0.001,<0.01,<0.05,0.3,0.2,0.2,2.1,<0.01,<0.01,5.3,<0.005,0.07,1.96,2,0.35,2.02,4.0,3
RC.BH19.028,908.0,JAT-P3,RC,498794.926,2144447.1,307.51,27,28,,0.51,0.67,0.59,40.4,0.38,<10,70,1.73,1.44,3.33,1.55,78.8,13.5,100.0,0.35,78.4,5.1,3.1,0.16,0.14,0.01,0.141,0.4,39,2.1,0.15,1560.0,36.5,0.01,0.23,65.0,680,25.5,18.8,0.003,0.02,1.78,4.5,2.3,1.6,120.0,0.01,0.03,5.3,0.005,0.31,3.94,22,0.79,12.5,226.0,6.7
RC.BH19.029,909.0,JAT-P3,RC,498794.926,2144447.1,306.51,28,29,,0.13,1.18,0.61,89.9,0.06,<10,40,1.81,1.28,6.27,1.07,70.8,23.2,85.0,0.36,42.4,5.28,3.42,0.14,0.13,0.01,0.102,0.34,35.4,2.7,0.47,2870.0,35.8,0.01,0.34,80.6,500,38.7,16.7,0.002,0.01,1.58,6.0,3.1,1.4,92.4,0.01,0.02,4.4,0.006,0.24,4.53,23,0.66,18.0,162.0,5.7
RC.BH19.030,910.0,JAT-P3,RC,498794.926,2144447.1,305.51,29,30,,0.02,0.06,1.48,4.3,<0.02,<10,50,1.79,0.25,1.32,0.3,161,2.9,78.0,0.53,9.3,3.82,8.3,0.2,0.12,0.01,0.15,0.21,82.1,6.4,0.37,902.0,9.81,0.02,0.15,13.8,340,6.7,9.6,0.002,<0.01,0.16,2.7,0.5,1.8,33.9,0.01,<0.01,9.3,<0.005,0.15,2.64,6,0.21,18.65,144.0,4.4
RC.BH19.031,911.0,JAT-P3,RC,498794.926,2144447.1,304.51,30,31,,0.01,0.05,1.48,1.6,<0.02,<10,30,1.23,0.19,0.96,0.24,>500,1.5,70.0,0.89,6.7,3.65,12.1,0.41,0.15,<0.01,0.18,0.21,300,7.8,0.36,579.0,9.16,0.03,0.18,6.3,310,5.3,10.6,0.003,<0.01,0.07,3.1,0.7,1.8,23.0,0.01,<0.01,22.7,0.016,0.09,2.89,3,0.18,24.7,170.0,5.3
RC.BH19.032,912.0,JAT-P3,RC,498794.926,2144447.1,303.51,31,32,,0.01,0.06,1.3,3.9,<0.02,<10,30,1.63,0.47,0.71,0.41,>500,6.5,103.0,1.05,31.1,4.51,12.55,0.68,0.19,<0.01,0.16,0.22,490,8.7,0.28,465.0,13.8,0.03,0.27,42.3,460,9.8,14.8,0.002,0.02,0.23,4.9,0.9,1.8,44.0,0.01,0.02,46.2,0.016,0.21,4,87,0.44,32.3,163.0,5.3
