Field No,lab Serial,Prospect,Type,x,y,z,Depth(m),Unnamed: 8,QA/QC,Au,Ag,Al,As,Au.1,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Fe,Ga,Ge,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr
,,,,,,,From,To,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC.BH20.086,1040.0,JAT-P3,RC,498835.585,2144410.407,249.652,85,86,,0.01,0.05,0.5,2.2,<0.02,<10,70,0.59,0.1,0.64,0.02,78.5,1.5,99.0,0.57,12.7,1.16,3.25,0.07,0.12,<0.01,0.021,0.23,41.1,4.9,0.11,198.0,9.95,0.08,1.16,3.1,210,9.6,13.9,<0.001,0.05,0.12,1.1,0.3,0.6,50.5,0.01,<0.01,12.5,0.022,0.11,3.19,4,1.28,9.14,45.0,3.4
RC.BH20.087,1041.0,JAT-P3,RC,498835.585,2144410.407,248.652,86,87,,<0.01,0.04,0.55,1.7,<0.02,<10,100,0.42,0.07,0.67,0.02,95.8,1.7,117.0,0.78,7.1,1.16,3.81,0.08,0.11,0.01,0.018,0.3,51.8,8.4,0.12,209.0,11.25,0.09,1.95,3.8,220,11.6,21.3,0.001,0.04,0.13,1.2,<0.2,1,62.9,0.01,<0.01,15.5,0.043,0.17,4.45,5,1.71,10.8,59.0,3.1
RC.BH20.088,1042.0,JAT-P3,RC,498835.585,2144410.407,247.652,87,88,,<0.01,0.04,0.42,1.9,<0.02,<10,40,0.43,0.1,0.53,0.06,169.5,1.8,129.0,0.54,12.2,1.23,3.72,0.14,0.13,<0.01,0.031,0.23,79.5,4.1,0.07,226.0,13.8,0.06,1.5,4.0,120,8.4,14.1,<0.001,0.06,0.18,1.0,<0.2,0.9,34.2,<0.01,<0.01,17.4,0.022,0.13,4.02,2,1.73,13.65,41.0,3.2
RC.BH20.089,1043.0,JAT-P3,RC,498835.585,2144410.407,246.652,88,89,,<0.01,0.03,0.61,0.9,<0.02,<10,20,0.52,0.1,0.63,0.05,272,1.8,117.0,1.1,6.2,1.93,6.39,0.23,0.19,<0.01,0.071,0.37,127,7.4,0.1,309.0,16.35,0.06,1.71,4.0,140,4.5,26.2,<0.001,0.04,0.11,1.8,<0.2,1.7,8.6,0.01,0.01,26.7,0.051,0.18,2.87,2,1.24,22.3,68.0,3.8
RC.BH20.090,1044.0,JAT-P3,RC,498835.585,2144410.407,245.652,89,90,,<0.01,0.03,0.52,1.4,<0.02,<10,20,0.59,0.07,0.48,0.06,262,1.5,114.0,0.6,10.0,1.66,5.3,0.24,0.19,<0.01,0.06,0.27,120.5,5.0,0.09,290.0,14.45,0.06,1.2,3.5,100,5.2,16.7,<0.001,0.06,0.09,1.3,<0.2,1.1,7.5,0.01,<0.01,25.3,0.029,0.12,2.67,2,1.61,19.45,67.0,4
RC.BH20.091,1045.0,JAT-P3,RC,498835.585,2144410.407,244.652,90,91,,<0.01,0.06,0.65,2.4,<0.02,<10,20,0.78,0.05,1.81,0.1,233,5.4,124.0,0.83,9.5,2.3,5.64,0.22,0.16,0.01,0.089,0.33,107.5,6.7,0.27,599.0,16.4,0.05,0.81,14.0,180,4.3,21.7,<0.001,0.07,0.17,3.1,0.3,0.7,20.7,0.01,0.01,20.2,0.04,0.17,2.27,11,1.25,22.6,80.0,3.4
RC.BH20.092,1046.0,JAT-P3,RC,498835.585,2144410.407,243.652,91,92,,<0.01,0.03,0.86,1.1,<0.02,<10,20,0.69,0.07,0.65,0.06,201,6.0,123.0,1.52,9.8,2.26,7.42,0.22,0.13,<0.01,0.071,0.5,90.7,10.7,0.26,314.0,15.95,0.06,1.39,16.0,130,3.8,39.0,0.001,0.04,0.08,3.3,0.5,1.3,8.9,0.01,0.01,21.1,0.079,0.25,2.5,12,1.2,17.3,74.0,3.4
RC.BH21.008,1047.0,JAT-P3,RC,498848.164,2144441.389,325.248,9,10,,<0.01,0.04,1.98,1.1,<0.02,<10,110,1.46,0.24,3.65,0.28,51.3,16.1,99.0,2.12,56.9,3.87,9.32,0.15,0.17,<0.01,0.082,0.43,23.4,9.4,0.86,695.0,7.55,0.2,0.06,18.0,450,10.4,56.0,<0.001,0.04,0.06,13.3,0.2,2.1,66.9,0.01,<0.01,11.3,0.151,0.31,1.18,91,0.3,22.7,108.0,2.5
RC.BH21.009,1048.0,JAT-P3,RC,498848.164,2144441.389,324.248,10,11,,<0.01,0.03,2.0,1.6,<0.02,10,140,1.97,0.39,4.01,0.19,40.9,19.3,113.0,2.23,17.4,4.81,9.18,0.13,0.12,<0.01,0.115,0.68,18,13.2,1.04,1040.0,8.04,0.1,0.07,34.9,530,6.4,77.1,<0.001,0.02,0.17,10.8,<0.2,2.4,52.0,0.01,<0.01,7.7,0.113,0.47,2.07,76,0.34,18.2,87.0,1.8
RC.BH21.010,1049.0,JAT-P3,RC,498848.164,2144441.389,323.248,11,12,,<0.01,0.07,1.6,2,<0.02,<10,110,1.39,0.17,1.0,0.1,67.4,10.5,130.0,1.83,51.3,3.09,8.29,0.14,0.08,<0.01,0.089,0.55,31.7,10.1,0.71,511.0,10.5,0.09,0.13,14.3,350,8.4,65.9,<0.001,0.01,0.08,7.1,0.6,2.3,31.1,0.01,<0.01,13.9,0.123,0.42,1.51,51,0.34,23.9,66.0,1.6
RC.BH21.011,1050.0,JAT-P3,RC,498848.164,2144441.389,322.248,12,13,,<0.01,0.07,1.45,1.9,<0.02,<10,80,1.17,0.12,0.71,0.04,66.6,6.6,142.0,1.33,34.8,2.4,7.07,0.1,0.06,0.01,0.06,0.41,30.7,7.0,0.55,382.0,11.25,0.1,0.12,11.4,300,11.3,47.9,0.002,0.01,0.08,5.4,<0.2,1.7,33.8,0.01,<0.01,13.8,0.087,0.27,1.08,31,0.33,15.2,55.0,1.6
,1051.0,JAT-P3,QA/QC,,,,,,Duplicate of RC.BH21.021,0.8,1.35,0.53,34.5,1.8,<10,90,0.94,5.37,1.03,0.64,62.1,7.4,114.0,0.22,639.0,3.98,2.53,0.13,0.13,<0.01,0.187,0.28,29.1,1.6,0.07,3640.0,14.6,0.01,0.06,19.7,170,72.1,11.7,<0.001,0.01,0.34,2.4,0.5,0.5,38.4,<0.01,0.01,9.9,<0.005,0.11,1.75,14,0.8,8.49,163.0,4.1
RC.BH21.012,1052.0,JAT-P3,RC,498848.164,2144441.389,321.248,13,14,,<0.01,0.12,0.77,11.6,<0.02,<10,50,0.89,0.3,1.39,0.12,81.2,5.1,129.0,0.51,36.9,1.78,3.98,0.08,0.09,<0.01,0.058,0.22,37.7,2.4,0.23,244.0,17.45,0.05,0.07,9.3,180,10.5,17.7,0.002,0.01,0.54,5.5,<0.2,0.7,19.3,0.01,<0.01,15.3,0.015,0.21,1.62,24,0.4,21.9,54.0,1.6
RC.BH21.013,1053.0,JAT-P3,RC,498848.164,2144441.389,320.248,14,15,,<0.01,0.14,0.64,4.1,<0.02,<10,40,0.57,0.1,0.24,0.06,82.1,2.1,140.0,0.39,14.7,1.49,4.2,0.1,0.09,<0.01,0.049,0.21,38.9,2.2,0.17,165.0,14.75,0.04,0.14,4.9,140,9.9,17.7,0.001,0.01,0.24,7.0,<0.2,0.7,10.7,0.01,<0.01,15.4,0.018,0.14,1.43,15,0.46,20.8,75.0,1.3
RC.BH21.014,1054.0,JAT-P3,RC,498848.164,2144441.389,319.248,15,16,,0.01,0.08,1.66,4.2,<0.02,<10,110,1.23,0.63,1.95,0.27,75.6,10.1,120.0,2.05,42.0,3.1,8.66,0.14,0.09,<0.01,0.109,0.63,33.9,9.6,0.59,567.0,11.05,0.05,0.12,11.7,510,18.4,75.8,<0.001,0.01,0.29,9.7,0.4,4.2,32.3,0.01,<0.01,13,0.119,0.55,1.29,57,0.43,22.9,154.0,1.8
RC.BH21.015,1055.0,JAT-P3,RC,498848.164,2144441.389,318.248,16,17,,<0.01,0.09,0.88,3.8,<0.02,<10,50,1.02,0.78,2.12,0.42,78,6.9,133.0,0.65,33.4,2.16,3.99,0.09,0.09,<0.01,0.785,0.32,35.7,3.8,0.21,558.0,11.85,0.04,0.15,9.5,320,13.8,27.1,<0.001,0.01,0.14,3.8,<0.2,12.8,27.1,0.01,0.01,16.5,0.028,0.24,2.32,15,0.53,21.8,108.0,1.9
RC.BH21.016,1056.0,JAT-P3,RC,498848.164,2144441.389,317.248,17,18,,<0.01,0.08,0.44,4.3,<0.02,<10,30,0.7,0.9,2.41,0.08,57.5,6.2,117.0,0.17,28.1,2.27,1.82,0.09,0.09,<0.01,0.261,0.28,26,1.4,0.08,699.0,10.9,0.03,0.38,8.6,220,6.9,14.5,<0.001,<0.01,0.21,2.7,0.8,4.4,24.0,0.01,<0.01,13.2,<0.005,0.08,4.11,8,0.68,13.0,32.0,2.3
RC.BH21.017,1057.0,JAT-P3,RC,498848.164,2144441.389,316.248,18,19,,<0.01,0.14,0.6,2.2,<0.02,<10,40,0.8,2.56,1.99,0.11,62.6,7.6,112.0,0.53,30.7,2.24,2.73,0.09,0.12,<0.01,0.161,0.32,29.3,2.8,0.15,585.0,10.2,0.03,0.1,9.4,250,8.6,23.0,<0.001,<0.01,0.2,3.5,0.4,6.2,24.0,0.01,0.02,13.9,0.011,0.2,3.51,18,0.58,14.1,47.0,2.4
RC.BH21.018,1058.0,JAT-P3,RC,498848.164,2144441.389,315.248,19,20,,<0.01,0.19,1.0,3,<0.02,10,50,1.15,1.52,2.79,0.45,51.1,14.4,107.0,1.09,33.6,3.27,4.15,0.12,0.1,<0.01,0.372,0.4,22,6.5,0.37,620.0,10.15,0.04,0.06,20.8,450,9.6,31.0,<0.001,<0.01,0.25,5.4,<0.2,9.5,33.1,<0.01,<0.01,10.4,0.022,0.29,2.95,32,0.41,14.7,181.0,2
RC.BH21.019,1059.0,JAT-P3,RC,498848.164,2144441.389,314.248,20,21,,0.01,0.17,0.6,6.2,<0.02,<10,50,0.78,1.92,2.24,0.28,57.4,10.1,108.0,0.32,72.5,3.52,2.24,0.11,0.1,0.01,0.444,0.34,26.1,2.8,0.12,1120.0,10.35,0.03,0.06,11.1,420,10.2,16.7,<0.001,0.01,0.23,3.3,0.2,4.8,31.2,<0.01,0.01,12.2,0.007,0.12,2.53,14,0.56,9.99,107.0,2.6
RC.BH21.020,1060.0,JAT-P3,RC,498848.164,2144441.389,313.248,21,22,,1.8,4.65,0.18,22.3,1.37,<10,50,0.52,35.6,0.61,0.27,6.58,11.5,85.0,0.1,992.0,19.05,3.88,0.36,0.03,<0.01,0.925,0.13,3.5,0.7,0.07,15100.0,13.15,0.01,0.05,15.9,80,165.5,3.8,0.001,0.02,0.38,4.8,0.3,0.5,60.4,<0.01,0.03,1.2,<0.005,0.13,2.57,34,0.42,6.96,55.0,1.4
RC.BH21.021,1061.0,JAT-P3,RC,498848.164,2144441.389,312.248,22,23,QA/QC,0.48,0.74,0.56,33.4,0.37,10,90,0.98,4.56,1.06,0.57,61,7.0,118.0,0.21,655.0,4.23,2.49,0.13,0.13,<0.01,0.201,0.3,28.6,1.6,0.07,3820.0,14.0,0.01,0.07,19.4,170,67.9,11.5,<0.001,0.01,0.33,2.3,<0.2,0.5,37.8,<0.01,0.02,9.9,<0.005,0.13,1.81,15,0.75,8.35,165.0,4
,1062.0,JAT-P3,QA/QC,,,,,,BLANK SAMPLE,<0.01,0.02,0.3,0.4,<0.02,<10,10,0.28,0.06,0.07,<0.01,3.61,0.7,111.0,0.11,7.0,0.39,1.09,<0.05,0.16,<0.01,0.005,0.29,1.3,0.4,0.02,99.0,8.61,0.03,0.21,2.8,10,15.7,11.8,<0.001,0.01,<0.05,0.3,0.2,0.2,2.5,<0.01,<0.01,4.8,<0.005,0.08,2.02,3,0.43,1.82,7.0,3.1
RC.BH21.022,1063.0,JAT-P3,RC,498848.164,2144441.389,311.248,23,24,,0.07,0.24,0.45,6.2,<0.02,<10,40,0.58,0.55,1.18,1.06,84.6,2.5,117.0,0.17,52.9,1.19,1.61,0.08,0.1,<0.01,0.049,0.24,39.8,1.0,0.05,477.0,11.2,0.02,<0.05,5.1,100,66.7,10.2,<0.001,<0.01,0.13,2.2,0.3,0.3,11.9,<0.01,<0.01,16.2,<0.005,0.08,1.69,6,0.49,7.25,121.0,2.7
RC.BH21.023,1064.0,JAT-P3,RC,498848.164,2144441.389,310.248,24,25,,0.01,0.32,0.47,26.8,<0.02,<10,50,0.78,0.45,4.03,0.73,48.5,11.9,99.0,0.15,21.3,2.82,1.68,0.08,0.11,<0.01,0.053,0.22,22.4,1.3,0.11,1210.0,9.56,0.03,<0.05,14.6,180,33.7,10.4,<0.001,0.01,0.21,4.9,0.3,0.4,48.1,<0.01,<0.01,8.8,<0.005,0.06,3.6,9,0.53,7.36,104.0,3
RC.BH21.024,1065.0,JAT-P3,RC,498848.164,2144441.389,309.248,25,26,,0.49,1.19,0.36,11.7,0.36,<10,30,0.44,2.43,0.7,1.5,69.1,1.9,136.0,0.16,39.2,1.04,1.44,0.08,0.11,<0.01,0.037,0.21,32.7,0.8,0.03,373.0,12.55,0.03,0.06,4.1,40,159.0,9.2,<0.001,0.01,0.13,1.5,<0.2,0.2,10.5,<0.01,0.01,12.9,<0.005,0.06,2.54,1,0.65,5.61,232.0,3.8
RC.BH21.025,1066.0,JAT-P3,RC,498848.164,2144441.389,308.248,26,27,,0.04,1.89,0.97,20.2,0.04,<10,30,2.02,3.33,2.93,2.67,44.6,14.2,86.0,0.29,72.8,3.56,3.15,0.1,0.11,<0.01,0.072,0.26,18.7,7.9,0.67,996.0,7.78,0.01,<0.05,24.5,300,243.0,13.1,0.001,0.01,0.22,5.8,0.4,0.6,65.9,<0.01,0.01,9,<0.005,0.09,4.03,26,0.53,8.15,301.0,2.7
RC.BH21.026,1067.0,JAT-P3,RC,498848.164,2144441.389,307.248,27,28,,0.01,0.58,0.93,40.4,<0.02,<10,30,3.13,0.36,6.08,0.23,16.05,38.5,29.0,0.5,103.0,6.79,3.12,0.15,0.05,<0.01,0.051,0.25,6.2,6.8,2.12,2090.0,1.72,0.01,<0.05,42.1,740,5.8,15.6,0.002,0.02,0.44,13.9,0.3,0.2,179.0,<0.01,<0.01,0.5,0.005,0.1,3.71,51,0.36,12.8,92.0,0.5
RC.BH21.027,1068.0,JAT-P3,RC,498848.164,2144441.389,306.248,28,29,,0.01,0.44,0.92,15.9,<0.02,10,30,3.42,0.19,3.32,0.19,34.4,22.4,61.0,0.58,66.3,4.57,3.2,0.11,0.11,<0.01,0.047,0.25,14.4,5.4,0.77,1570.0,5.82,0.02,<0.05,24.7,550,8.0,16.8,0.002,0.01,0.3,11.5,0.6,0.3,58.2,0.01,<0.01,4.8,<0.005,0.12,4.54,53,0.38,14.35,84.0,2.3
RC.BH21.028,1069.0,JAT-P3,RC,498848.164,2144441.389,305.248,29,30,,0.06,0.49,0.5,16.9,0.02,<10,40,0.92,3.08,1.1,0.19,60.8,5.1,138.0,0.23,25.1,1.61,1.68,<0.05,0.12,0.01,0.038,0.27,28.4,1.5,0.07,553.0,12.65,0.01,0.09,6.7,100,22.6,11.8,0.003,0.01,0.12,2.0,0.3,0.3,16.4,<0.01,<0.01,12.7,<0.005,0.08,2.1,4,0.65,6.61,46.0,3.7
RC.BH21.029,1070.0,JAT-P3,RC,498848.164,2144441.389,304.248,30,31,,0.57,0.91,0.41,14.2,0.27,<10,50,0.72,1.7,0.47,0.26,84.6,3.1,133.0,0.19,46.0,2.68,1.91,0.05,0.15,0.01,0.124,0.29,40.3,0.9,0.03,1580.0,13.35,0.01,0.09,6.9,40,18.7,10.9,0.001,<0.01,0.16,1.7,0.2,0.3,16.3,<0.01,0.01,14.5,<0.005,0.08,1.86,5,0.7,6.38,50.0,4.5
RC.BH21.030,1071.0,JAT-P3,RC,498848.164,2144441.389,303.248,31,32,,3.27,1.87,1.45,27,2.86,<10,40,2.5,5.47,3.62,3.55,32.4,26.8,88.0,1.42,352.0,10.95,7.35,0.13,0.1,0.02,0.486,0.31,14.6,14.0,0.82,5950.0,7.94,0.02,0.07,48.5,510,115.5,21.4,0.003,0.04,0.27,12.9,1.6,0.5,80.2,0.01,0.02,3,0.014,0.21,2.41,65,0.98,15.45,478.0,2.4
RC.BH21.031,1072.0,JAT-P3,RC,498848.164,2144441.389,302.248,32,33,,0.08,0.08,1.84,2,<0.02,<10,160,3.87,0.39,3.29,0.33,89.7,16.0,92.0,3.68,52.8,7.03,11.8,0.14,0.22,0.01,0.189,0.51,40.8,12.4,0.71,1090.0,7.21,0.04,0.2,34.1,760,6.7,45.3,0.002,0.01,0.11,20.0,0.6,1.7,52.9,0.01,0.01,6.3,0.098,0.27,0.95,53,0.21,25.4,157.0,4.5
RC.BH21.032,1073.0,JAT-P3,RC,498848.164,2144441.389,301.248,33,34,,0.01,0.05,1.71,0.7,<0.02,<10,180,1.55,0.19,1.67,0.2,107,3.2,71.0,1.78,16.9,5.69,13.0,0.18,0.27,0.02,0.203,0.63,48,11.1,0.28,763.0,8.14,0.08,0.73,6.8,670,4.5,41.4,0.002,0.02,0.09,16.2,0.6,1.5,28.9,0.01,<0.01,7.5,0.164,0.26,1.13,8,0.24,22.0,141.0,6.3
RC.BH21.033,1074.0,JAT-P3,RC,498848.164,2144441.389,300.248,34,35,,<0.01,0.03,2.27,1.5,<0.02,<10,330,3.57,0.2,2.43,0.4,213,7.7,60.0,3.75,19.2,10.15,16.7,0.27,0.35,0.01,0.353,0.78,99.8,14.9,0.53,1360.0,7.61,0.04,0.28,9.2,880,4.2,59.6,0.002,0.01,0.13,25.9,0.7,2.4,52.5,0.02,<0.01,15.7,0.186,0.48,1.52,29,0.2,50.8,245.0,7.5
RC.BH21.034,1075.0,JAT-P3,RC,498848.164,2144441.389,299.248,35,36,,<0.01,0.09,1.2,2.1,<0.02,<10,100,2.49,0.3,1.96,0.45,115,4.5,59.0,1.8,22.8,6.27,9.17,0.13,0.24,0.01,0.233,0.41,51.5,6.8,0.22,903.0,7.32,0.04,0.28,6.4,660,4.2,39.0,0.002,<0.01,0.09,15.6,0.7,1.4,35.0,0.01,0.01,7,0.061,0.3,2.03,15,0.18,33.7,143.0,7.2
,1076.0,JAT-P3,QA/QC,,,,,,Duplicate of RC.BH21.041,0.07,0.13,0.62,51.2,0.19,<10,40,0.96,0.27,1.69,1.05,98.3,6.0,96.0,0.31,37.0,3.05,2.86,0.07,0.07,0.01,0.073,0.26,49,2.8,0.1,891.0,15.8,0.03,0.09,34.9,180,6.2,11.0,0.002,0.07,0.23,2.1,2,0.4,24.8,<0.01,0.02,6,<0.005,0.21,3.44,6,0.42,7.05,207.0,2.8
RC.BH21.035,1077.0,JAT-P3,RC,498848.164,2144441.389,298.248,36,37,,<0.01,0.09,1.01,1.7,<0.02,<10,100,2.51,0.56,2.43,0.38,112,3.3,53.0,2.0,64.7,6.17,8.87,0.16,0.33,0.01,0.2,0.37,51.3,6.4,0.14,1290.0,8.72,0.04,0.47,6.8,540,5.2,42.2,0.003,<0.01,0.08,13.2,0.6,1.2,43.9,0.01,0.07,6.5,0.058,0.45,2.99,8,0.22,38.0,148.0,15.5
RC.BH21.036,1078.0,JAT-P3,RC,498848.164,2144441.389,297.248,37,38,,<0.01,0.1,1.28,1.6,<0.02,<10,120,1.99,0.84,1.35,0.27,89.1,1.7,71.0,2.87,17.2,5.49,10.65,0.14,0.33,0.01,0.209,0.42,39.4,10.7,0.2,1100.0,8.91,0.04,0.72,4.5,480,7.2,53.8,0.002,<0.01,0.07,11.8,0.7,4.3,40.9,0.01,0.01,6.8,0.103,0.54,3.04,3,0.25,31.4,162.0,12
RC.BH21.037,1079.0,JAT-P3,RC,498848.164,2144441.389,296.248,38,39,,0.01,0.19,1.58,3.4,<0.02,<10,60,2.46,1.1,2.15,3.06,70.3,10.5,132.0,2.2,63.1,5.1,12.4,0.14,0.25,0.01,0.168,0.26,34.8,11.4,0.57,514.0,12.75,0.03,0.24,203.0,680,10.3,35.5,0.003,<0.01,0.11,10.0,1.4,3.6,33.3,0.01,0.06,4.8,0.033,0.62,2.27,270,0.39,35.9,469.0,7.8
RC.BH21.038,1080.0,JAT-P3,RC,498848.164,2144441.389,295.248,39,40,,0.02,0.56,1.38,7.3,0.03,<10,20,1.1,2.0,0.55,0.31,23.2,6.9,160.0,0.91,136.5,6.75,9.46,0.1,0.09,0.1,0.101,0.08,9.6,5.4,0.33,150.0,30.5,0.04,0.11,112.0,740,160.5,11.2,0.005,0.01,0.42,13.4,2.4,2.1,260.0,<0.01,0.15,3.2,0.007,0.23,3.06,584,0.82,12.15,265.0,3.4
RC.BH21.039,1081.0,JAT-P3,RC,498848.164,2144441.389,294.248,40,41,,0.01,0.21,1.19,20.1,<0.02,<10,60,2.57,0.68,5.41,4.14,43,24.2,119.0,0.49,120.0,5.27,6.92,0.08,0.13,0.01,0.144,0.16,20.8,4.8,0.64,1270.0,22.6,0.03,0.05,259.0,910,15.0,9.8,0.004,0.01,0.36,10.9,2.5,1,94.5,0.01,0.09,2.6,<0.005,0.77,3.31,299,0.66,38.6,392.0,3.6
RC.BH21.040,1082.0,JAT-P3,RC,498848.164,2144441.389,293.248,41,42,,0.01,0.19,0.55,50.2,<0.02,<10,40,1.66,0.3,6.39,2.05,45.4,9.9,74.0,0.46,48.2,3.06,2.25,0.06,0.1,0.01,0.075,0.24,22.4,1.5,0.5,1640.0,18.15,0.02,0.08,50.7,480,11.2,10.2,0.002,0.01,0.49,3.9,3.4,0.2,79.5,<0.01,<0.01,3,<0.005,0.33,2.18,35,0.61,15.05,151.0,3.2
RC.BH21.041,1083.0,JAT-P3,RC,498848.164,2144441.389,292.248,42,43,QA/QC,0.03,0.09,0.68,53.5,0.03,<10,40,1.08,0.28,1.68,1.07,99.2,6.2,112.0,0.34,39.0,3.12,3.26,0.07,0.08,0.01,0.079,0.28,49.1,3.1,0.11,910.0,17.0,0.03,0.09,36.4,180,6.3,11.9,0.002,0.06,0.24,2.1,1.6,0.4,26.7,<0.01,0.03,5.8,<0.005,0.18,3.45,6,0.43,7.43,212.0,3
,1084.0,JAT-P3,QA/QC,,,,,,BLANK SAMPLE,0.01,0.04,0.26,0.3,0.24,<10,10,0.25,0.02,0.03,<0.01,2.93,0.6,115.0,0.11,2.3,0.33,1.0,<0.05,0.15,0.01,<0.005,0.26,1.3,0.5,0.01,51.0,9.62,0.03,0.19,2.9,<10,13.8,11.3,0.002,<0.01,<0.05,0.2,0.3,<0.2,2.1,<0.01,<0.01,4.4,<0.005,0.07,1.9,2,0.17,1.66,6.0,2.9
RC.BH21.042,1085.0,JAT-P3,RC,498848.164,2144441.389,291.248,43,44,,<0.01,0.06,1.33,3,<0.02,<10,30,0.96,0.19,2.26,2.17,>500,6.5,90.0,1.14,19.5,3.43,11.35,0.28,0.16,0.01,0.149,0.22,260,8.6,0.33,623.0,13.35,0.03,0.32,49.8,490,6.2,14.4,0.002,<0.01,0.21,4.6,0.5,1.1,29.4,0.01,0.03,23.1,0.025,0.22,2.67,71,0.42,27.9,198.0,4.5
RC.BH21.043,1086.0,JAT-P3,RC,498848.164,2144441.389,290.248,44,45,,0.01,0.15,1.44,7.7,<0.02,<10,50,3.26,1.33,2.85,2.78,53.6,17.1,148.0,0.52,66.0,6.21,8.3,0.1,0.13,0.01,0.118,0.12,26.8,6.2,0.54,538.0,23.2,0.02,0.06,163.5,1270,9.4,7.9,0.005,0.01,0.23,11.0,1.5,5.5,45.7,0.01,0.07,4.4,<0.005,0.37,1.74,322,1.18,31.9,242.0,3.2
RC.BH21.044,1087.0,JAT-P3,RC,498848.164,2144441.389,289.248,45,46,,<0.01,0.09,1.96,5.3,<0.02,<10,60,1.45,0.19,4.48,1.21,157,27.8,92.0,3.52,37.3,3.22,10.4,0.11,0.21,0.01,0.105,0.34,87.4,13.7,0.99,1720.0,9.68,0.07,0.14,75.6,570,2.5,33.4,0.004,0.05,0.1,17.7,2.4,5.5,74.5,0.01,0.01,6.2,0.127,0.68,1.93,110,0.22,28.7,186.0,2.9
RC.BH21.045,1088.0,JAT-P3,RC,498848.164,2144441.389,288.248,46,47,,<0.01,0.03,1.78,2.4,<0.02,<10,30,0.96,0.04,2.3,0.1,440,16.7,105.0,0.5,24.8,3.48,9.16,0.23,0.2,0.02,0.081,0.17,240,14.9,1.22,572.0,4.51,0.14,0.23,33.2,460,1.7,7.0,0.001,0.06,0.07,12.0,0.3,0.5,33.3,0.01,0.01,13.8,0.191,0.08,0.7,74,0.48,14.55,64.0,3.3
RC.BH21.046,1089.0,JAT-P3,RC,498848.164,2144441.389,287.248,47,48,,<0.01,0.05,1.63,2,<0.02,<10,70,0.42,0.1,1.4,0.14,>500,8.8,94.0,2.99,24.4,3.7,14.85,0.53,0.2,0.01,0.195,0.67,580,26.6,0.63,616.0,8.04,0.07,0.88,19.2,370,3.5,36.9,0.003,0.13,0.08,7.6,0.4,0.9,20.7,0.01,0.01,45.7,0.184,0.31,2.12,41,1.06,32.0,135.0,3.9
RC.BH21.047,1090.0,JAT-P3,RC,498848.164,2144441.389,286.248,48,49,,<0.01,0.08,1.62,4.8,<0.02,<10,10,0.59,0.05,2.31,0.08,30.7,24.3,85.0,0.21,94.7,3.31,5.63,0.08,0.19,0.01,0.033,0.07,15.2,10.9,1.41,498.0,3.16,0.21,0.11,37.3,670,0.7,2.5,0.002,0.3,0.09,13.6,1,0.5,25.8,<0.01,0.02,0.9,0.29,0.08,0.15,99,0.3,9.9,38.0,3.6
RC.BH21.048,1091.0,JAT-P3,RC,498848.164,2144441.389,285.248,49,50,,<0.01,0.14,1.29,11.5,<0.02,<10,10,0.2,0.07,1.89,0.06,11.5,30.2,77.0,0.23,105.0,3.03,4.47,0.07,0.18,0.01,0.027,0.06,4.8,9.8,1.22,771.0,3.32,0.2,0.1,64.6,720,0.8,2.3,0.002,0.75,0.08,10.0,0.8,0.5,17.6,<0.01,0.06,0.6,0.275,0.09,0.14,85,0.79,9.38,37.0,3.3
RC.BH21.049,1092.0,JAT-P3,RC,498848.164,2144441.389,284.248,50,51,,<0.01,0.08,1.4,2.6,<0.02,<10,10,0.15,0.03,2.14,0.06,7.68,21.3,81.0,0.19,84.5,2.84,4.83,0.08,0.21,0.01,0.025,0.08,2.9,9.6,1.19,523.0,2.55,0.23,0.15,43.1,820,0.5,2.2,0.004,0.3,0.1,11.2,0.8,0.5,19.7,<0.01,0.01,0.3,0.36,0.14,0.12,95,0.45,11.05,34.0,3.4
RC.BH21.050,1093.0,JAT-P3,RC,498848.164,2144441.389,283.248,51,52,,<0.01,0.07,1.5,1.9,<0.02,<10,70,0.18,0.03,2.0,0.08,7.92,22.5,79.0,0.8,70.7,3.05,5.59,0.09,0.2,0.01,0.028,0.13,2.9,12.6,1.15,508.0,2.68,0.25,0.16,42.6,840,0.5,7.0,0.003,0.24,0.09,13.5,0.9,0.4,16.7,0.01,0.01,0.2,0.385,0.09,0.15,111,0.67,13.55,41.0,3.5
RC.BH21.051,1094.0,JAT-P3,RC,498848.164,2144441.389,282.248,52,53,,<0.01,0.06,1.45,4.5,<0.02,<10,20,0.28,0.05,2.41,0.08,6.92,21.0,103.0,0.23,39.7,2.98,5.14,0.07,0.21,0.02,0.023,0.11,2.8,10.1,1.24,453.0,2.17,0.22,0.1,50.0,630,1.0,3.1,0.002,0.16,0.07,12.0,0.3,0.4,24.2,0.01,<0.01,0.3,0.286,0.04,0.31,98,0.39,10.15,42.0,3.5
