Serial    No,Sample Discription,Unnamed: 2,Interval (m),Unnamed: 4,QA/QC,Au,Ag,Al,As,Au.1,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Fe,Ga,Ge,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr
,Lab ID,Field ID,From,To,,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,%,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm
10.0,P1/D/BH1-2/010,S010 ,25,26,,0.01,0.45,0.46,12,<0.02,<10,650,0.53,0.09,0.05,0.36,252,1.2,9,<0.05,8.6,3.75,4.82,0.28,1.03,0.03,0.128,0.02,128.5,1.7,0.01,301,5.7,0.01,1.49,3.2,110,11,0.7,0.001,0.31,0.93,1.1,0.4,2.1,59.1,0.01,<0.01,14.1,0.005,0.05,3.01,4,0.1,15.9,105,46.3
11.0,P1/D/BH1-2/011,S011 ,26,27,,<0.01,0.15,0.4,4.9,<0.02,<10,160,0.69,0.24,0.04,0.11,43.1,2.8,10,0.07,21.7,2.65,1.86,0.08,0.11,0.02,0.049,0.1,21.2,1,0.03,595,3.73,0.01,0.09,6.9,120,6.4,5.7,<0.001,<0.01,0.11,3.1,<0.2,0.6,8.4,<0.01,<0.01,4.7,<0.005,0.04,1.28,17,0.06,8.15,54,3.9
12.0,P1/D/BH1-2/012,S012 ,27,28,,<0.01,0.08,0.6,5.5,<0.02,<10,30,0.4,0.66,0.02,0.06,81.7,2.5,8,0.05,24.1,2.13,1.91,0.11,0.11,0.02,0.03,0.12,38.8,0.9,0.02,233,0.96,0.01,<0.05,4.4,60,11,5.6,<0.001,<0.01,0.06,3.8,<0.2,0.3,2.7,<0.01,0.01,15.1,<0.005,0.03,0.96,5,0.06,6.49,24,3.3
13.0,P1/D/BH1-2/013,S013 ,28,29,,0.01,0.16,1.17,1.3,<0.02,10,220,1.78,0.15,0.71,0.7,39.8,26.2,27,0.26,17.4,9.6,4.39,0.14,0.1,0.02,0.108,0.2,19.5,2.3,0.11,2110,2.02,0.01,<0.05,34.8,1260,9.6,12.6,<0.001,0.01,0.11,26.2,<0.2,0.4,33.1,<0.01,<0.01,3.1,0.015,0.2,2.62,188,0.11,20.1,214,3.9
14.0,P1/D/BH1-2/014,S014 ,29,30,,0.01,0.18,0.94,2.2,<0.02,10,280,2.04,0.17,3.39,0.5,31.7,43.1,26,0.28,61.5,11.75,3.82,0.14,0.09,0.01,0.122,0.25,13.8,2.4,0.14,3560,1.69,0.02,<0.05,40.1,1380,21.7,14.1,<0.001,0.01,0.19,27.4,<0.2,0.5,59.7,<0.01,<0.01,0.8,0.016,0.17,2.59,170,0.24,25.7,245,3.6
15.0,P1/D/BH1-2/015,S015 ,30,30 .80,,<0.01,0.11,0.64,6.7,<0.02,10,100,1.49,0.24,0.24,0.37,45,30.8,15,0.21,77.6,6.89,3.12,0.13,0.09,0.01,0.076,0.28,21.4,1.8,0.1,1910,2.62,0.02,<0.05,25.3,810,13.9,14.3,0.001,<0.01,0.31,16.7,<0.2,0.5,29.4,<0.01,<0.01,5.2,0.007,0.14,2.62,92,0.22,14.25,145,2.2
16.0,P1/D/BH1-2/016,S016 ,,,DUPL OF P1/D/BH1-2/023,0.01,0.1,0.03,2.2,<0.02,<10,20,0.34,0.49,0.04,0.08,0.88,2.9,9,<0.05,97.5,4.06,0.41,<0.05,<0.02,0.01,0.215,0.01,0.5,0.2,0.02,811,1.03,<0.01,<0.05,7.2,20,2.1,1.1,0.001,0.01,0.22,1.4,<0.2,0.2,3.4,<0.01,<0.01,<0.2,<0.005,0.06,0.32,5,0.3,1.95,22,<0.5
17.0,P1/D/BH1-2/017,S017 ,30 .80,31 .20,,<0.01,0.06,0.02,3.5,<0.02,<10,20,0.2,0.12,0.03,0.06,2.13,2.9,11,<0.05,10.8,3.05,0.45,<0.05,<0.02,0.01,0.031,0.01,1.1,0.2,0.02,1450,1.13,<0.01,<0.05,5.6,20,1.5,0.8,<0.001,<0.01,0.27,2.7,<0.2,0.2,4,<0.01,<0.01,0.3,<0.005,0.08,0.41,7,0.08,2.26,19,<0.5
18.0,P1/D/BH1-2/018,S018 ,31 .20,32 .30,,0.05,0.19,0.39,26.8,0.02,10,220,0.76,0.44,0.08,0.23,41.2,7,9,0.08,28.8,3.94,1.95,0.08,0.08,0.01,0.063,0.14,19.8,1.6,0.04,709,3.71,0.01,0.1,9.3,230,9.2,7.1,0.001,0.01,0.53,4.8,<0.2,0.7,14.2,<0.01,<0.01,5.7,<0.005,0.05,1.65,22,0.11,8.45,55,2.8
19.0,P1/D/BH1-2/019,S019 ,32 .30,33,,0.03,0.23,0.21,34.8,0.03,<10,140,0.78,0.25,0.07,0.25,16.3,7.6,9,0.08,148.5,7.98,1.3,0.09,0.04,0.01,0.152,0.08,5.4,1.1,0.05,798,2.7,0.01,0.05,11.6,140,3.9,5.2,0.001,0.19,2.33,8.7,0.8,0.4,17.4,<0.01,<0.01,1.8,<0.005,0.08,1.5,27,0.08,10.55,78,0.9
20.0,P1/D/BH1-2/020,S020 ,33,34,,0.03,0.16,0.66,13.4,0.02,10,120,1.26,0.23,0.24,0.58,18.2,33.8,26,0.13,66.7,9.12,2.83,0.09,0.06,0.01,0.124,0.15,6.5,3,0.1,2100,2.12,0.01,0.07,30.9,920,9.9,7.9,<0.001,0.06,0.52,18.1,0.2,0.5,26.8,<0.01,<0.01,1.1,0.009,0.11,3.01,151,0.21,13.65,152,2.1
21.0,P1/D/BH1-2/021,S021 ,34,35,QA/QC,0.02,0.1,0.17,7.4,0.02,10,50,0.77,0.31,0.04,0.08,13.2,4.7,9,0.06,7.8,6.72,1,0.09,0.02,0.02,0.439,0.08,6,0.9,0.04,1170,1.65,0.01,<0.05,9.2,50,3.4,4.1,<0.001,<0.01,0.55,3.7,<0.2,0.4,8.8,<0.01,<0.01,2,<0.005,0.09,1.1,7,0.18,6.96,29,0.7
22.0,P1/D/BH1-2/022,S022 ,,,BLANK,<0.01,0.02,0.35,0.4,<0.02,<10,40,1.27,0.03,0.58,0.01,134.5,1.3,14,0.28,18,1.73,2.55,0.12,1.85,0.01,0.005,0.24,86.8,1.6,0.08,181,6.28,0.09,0.4,4.8,150,29.6,21.4,0.001,0.05,<0.05,0.9,<0.2,1.1,57.2,<0.01,<0.01,103.5,0.006,0.1,13.35,5,0.07,5.4,9,48.1
23.0,P1/D/BH1-2/023,S023 ,35,36,QA/QC,0.02,0.12,0.02,2.2,<0.02,<10,20,0.35,0.6,0.04,0.09,1,2.8,9,<0.05,105.5,4.15,0.41,0.05,<0.02,0.01,0.214,0.01,0.6,0.3,0.03,808,1.3,<0.01,<0.05,7,20,2.1,1.1,<0.001,0.01,0.32,1.4,<0.2,0.2,3.6,<0.01,<0.01,0.2,<0.005,0.07,0.37,5,0.51,2.04,22,<0.5
24.0,P1/D/BH1-2/024,S024 ,36,36 .30,,0.45,0.29,0.12,22.3,0.31,<10,20,1.08,7.21,0.02,0.12,5.54,10.1,7,0.05,86.6,9.34,1,0.1,0.02,0.02,0.29,0.05,2.7,0.5,0.01,722,1.57,0.01,0.07,13.3,40,5.2,2.6,<0.001,0.04,2.13,4.2,0.6,0.7,6.1,<0.01,0.08,0.8,<0.005,0.08,0.52,9,0.55,3.34,34,0.8
25.0,P1/D/BH1-2/025,S025 ,36 .30,37,,0.01,0.1,0.73,7.4,<0.02,30,110,1.66,0.45,0.4,0.51,38,39.4,10,0.18,11.7,8.73,3.25,0.13,0.08,0.01,0.151,0.25,17.6,1.8,0.11,2150,3.11,0.02,<0.05,30.1,1440,9.7,10.7,<0.001,0.01,0.23,12.6,<0.2,0.6,57.3,<0.01,<0.01,2.7,0.007,0.09,4.21,79,0.21,18.1,176,2.2
26.0,P1/D/BH1-2/026,S026 ,37,38,,0.01,0.08,0.47,4.3,<0.02,10,60,0.78,0.25,0.13,0.16,47.7,4.2,7,0.13,13.9,3.1,1.79,0.07,0.05,<0.01,0.051,0.25,23.1,1.5,0.05,652,3.58,0.01,<0.05,7.2,390,4.5,10.6,<0.001,<0.01,0.18,2.8,<0.2,0.4,11.7,<0.01,<0.01,9.6,<0.005,0.08,1.18,6,0.08,7.7,39,1.6
27.0,P1/D/BH1-2/027,S027 ,38,39,,<0.01,0.11,0.52,5.4,<0.02,10,50,0.98,0.62,0.16,0.33,53.3,7.2,7,0.09,53.1,2.86,2.23,0.08,0.06,<0.01,0.051,0.26,27.3,2.2,0.05,654,4.58,0.01,0.06,9.3,530,4.6,11,0.001,<0.01,0.2,3.4,<0.2,0.7,14.4,<0.01,0.01,10.8,<0.005,0.09,1.25,13,0.07,10.85,164,2.2
28.0,P1/D/BH1-2/028,S028 ,39,40,,<0.01,0.06,0.55,4.2,<0.02,10,50,0.8,0.2,0.11,0.25,63.7,5.5,6,0.09,6.6,2.5,1.98,0.09,0.1,0.01,0.044,0.23,31.5,1.4,0.04,529,1.37,0.01,0.06,6.9,340,5.7,10.1,0.001,<0.01,0.08,2,<0.2,0.6,10.4,<0.01,0.01,10.7,<0.005,0.07,1.71,7,0.06,9.14,71,4
29.0,P1/D/BH1-2/029,S029 ,40,41,,<0.01,0.04,0.55,2.6,<0.02,10,80,0.78,0.11,1.74,0.12,53.4,4.1,7,0.15,3.7,2.78,1.93,0.09,0.06,<0.01,0.039,0.17,25.4,1.5,0.32,722,2.11,0.01,<0.05,6,380,6.7,8.9,0.001,<0.01,<0.05,4.4,0.2,0.5,17.1,<0.01,<0.01,12.1,<0.005,0.07,3.42,5,0.06,14.2,36,2
30.0,P1/D/BH1-2/030,S030 ,41,42,,0.01,0.04,0.59,2,<0.02,<10,110,0.95,0.13,1.32,0.17,69.9,4.8,6,0.24,9.2,3.09,2.22,0.1,0.06,0.01,0.062,0.16,35.8,1.1,0.34,568,4.16,0.01,<0.05,6.3,470,10.6,8.9,<0.001,<0.01,0.07,6.1,<0.2,0.7,19.3,<0.01,<0.01,14.8,<0.005,0.05,4.88,8,0.06,19.9,69,2
31.0,P1/D/BH1-2/031,S031 ,,,DUPL OF P1/D/BH1-2/021,0.02,0.11,0.18,8.4,0.02,<10,50,0.77,0.37,0.04,0.08,14.95,5.3,8,0.06,9.6,6.99,0.98,0.08,0.03,<0.01,0.413,0.08,6.7,0.9,0.04,1200,1.5,0.01,<0.05,9.8,50,4.1,4.1,<0.001,<0.01,0.56,3.8,0.2,0.5,9.1,<0.01,0.01,2.3,<0.005,0.11,1.03,8,0.18,7.24,33,0.8
32.0,P1/D/BH1-2/032,S032 ,42,43,,<0.01,0.02,0.5,0.7,<0.02,<10,30,0.71,0.07,0.96,0.07,52.6,4.3,7,0.18,3.9,3.18,1.78,0.08,0.06,<0.01,0.043,0.18,26.2,1,0.2,426,0.85,0.03,<0.05,7.9,440,5.6,9.5,0.001,<0.01,<0.05,4.8,<0.2,0.5,20.2,<0.01,<0.01,12.8,<0.005,0.05,3.35,9,0.05,9.84,43,2.1
33.0,P1/D/BH2-001,S001,"4,20","5,20",,<0.01,0.1,0.64,15.9,<0.02,<10,90,1.17,0.55,0.21,0.22,44.3,15.4,26,0.06,33.3,4.86,2.96,0.11,0.08,<0.01,0.091,0.1,23.9,1.6,0.04,382,7.3,0.02,<0.05,25.3,280,18.3,7.3,0.002,<0.01,0.4,12.6,0.2,1.1,8.8,<0.01,0.12,6.5,0.005,0.04,2.86,51,0.07,17.75,118,2.3
34.0,P1/D/BH2-002,S002,"5,20","7,20",,<0.01,0.05,0.52,5.6,<0.02,<10,40,0.49,0.15,0.08,0.11,120.5,8.1,9,0.06,18.5,2.1,2.55,0.13,0.06,<0.01,0.054,0.07,67.9,0.9,0.02,386,2.53,0.02,<0.05,8.4,330,12.2,4.6,<0.001,<0.01,<0.05,4,0.2,0.7,9.8,<0.01,<0.01,14.4,<0.005,0.05,1.72,16,0.05,21.2,45,1.9
35.0,P1/D/BH2-003,S003,"7,20","10,20",,<0.01,0.06,0.53,4.6,<0.02,<10,40,0.44,0.15,0.06,0.07,68.3,4.9,8,0.05,10.3,2.36,2.07,0.09,0.08,<0.01,0.078,0.06,34.5,0.8,0.02,325,3.95,0.01,<0.05,8.9,190,12.6,4,<0.001,<0.01,0.12,4.9,<0.2,0.6,5.8,<0.01,<0.01,9.9,<0.005,0.03,1.83,12,0.18,15.85,53,2.6
36.0,P1/D/BH2-004,S004,"10,20","13,20",,<0.01,0.14,0.77,17,<0.02,<10,120,2.66,0.11,0.03,0.15,11.7,17,31,0.1,49.3,10.7,3.91,0.09,0.06,<0.01,0.234,0.06,5,1.8,0.02,225,2.41,0.01,<0.05,45.3,720,6,3.8,<0.001,<0.01,1.03,17.2,<0.2,0.7,9.2,<0.01,0.02,1.6,0.01,0.04,2.3,159,0.56,11.9,75,1.5
37.0,P1/D/BH2-005,S005,"13,20","16,20",,<0.01,0.14,0.65,6.9,<0.02,10,110,1.56,0.07,0.1,0.2,29.3,27.2,32,0.2,77,6.38,2.81,0.1,0.11,<0.01,0.083,0.22,12.5,0.9,0.04,1020,0.7,0.01,<0.05,35,460,9.3,9.7,<0.001,<0.01,0.49,25,<0.2,0.6,17.2,<0.01,0.01,1.2,0.02,0.11,2.1,181,0.2,13.5,67,3.7
38.0,P1/D/BH2-006,S006,"19,20","20,20",,0.13,0.33,0.02,18.5,0.09,<10,10,0.13,0.73,0.01,0.09,0.38,1.6,8,<0.05,26.2,5.12,0.26,0.07,<0.02,0.01,0.223,<0.01,0.2,0.1,<0.01,237,1.13,<0.01,<0.05,4.7,10,9.5,0.2,<0.001,<0.01,0.61,1.9,0.4,0.4,1.5,<0.01,0.02,<0.2,<0.005,<0.02,0.14,3,0.09,0.7,24,<0.5
39.0,P1/D/BH2-007,S007,"20,20","21,20",,0.02,0.09,0.01,3.9,0.02,<10,<10,0.09,0.23,0.01,0.01,0.17,1.2,8,<0.05,4.5,6.53,0.23,0.08,<0.02,0.01,0.058,<0.01,<0.2,0.1,<0.01,225,0.62,<0.01,<0.05,4.3,10,1.9,0.1,<0.001,<0.01,0.39,1,0.3,0.2,0.6,<0.01,0.03,<0.2,<0.005,<0.02,0.19,2,0.06,0.57,7,<0.5
40.0,P1/D/BH2-008,S008,"21,20","22,20",QA/QC,0.06,0.15,0.03,4.4,0.05,<10,20,0.2,0.44,0.01,0.04,1.25,1.7,9,<0.05,11.5,11.85,0.44,0.11,<0.02,<0.01,0.093,0.01,0.6,0.1,0.01,360,0.5,<0.01,<0.05,6.6,20,1.8,0.7,<0.001,0.01,0.48,2.9,0.2,0.5,3.2,<0.01,0.03,0.2,<0.005,<0.02,0.28,7,0.06,0.99,12,<0.5
41.0,P1/D/BH2-009,S009,"22,20","23,20",,0.01,0.06,0.01,0.9,<0.02,<10,<10,0.07,0.17,<0.01,0.01,0.14,0.6,10,<0.05,2.5,4.31,0.25,0.07,<0.02,<0.01,0.008,<0.01,<0.2,0.1,<0.01,186,0.54,<0.01,<0.05,2.8,10,0.8,0.1,<0.001,<0.01,0.19,0.7,<0.2,0.2,0.6,<0.01,0.03,<0.2,<0.005,<0.02,0.06,1,0.05,0.23,3,<0.5
42.0,P1/D/BH2-010,S010,"23,20","24,20",,0.04,0.11,0.02,5,0.04,<10,10,0.08,0.33,0.02,0.02,0.54,1.9,9,<0.05,13.7,3.32,0.27,0.06,<0.02,0.01,0.047,<0.01,0.3,0.1,<0.01,221,0.53,<0.01,<0.05,5,30,1.6,0.2,<0.001,0.23,0.3,1.4,0.2,0.3,2.4,<0.01,0.05,<0.2,<0.005,0.02,0.18,5,0.08,0.4,8,<0.5
43.0,P1/D/BH2-011,S011,,,BLANK,<0.01,0.02,0.3,0.4,<0.02,<10,40,1.07,0.03,0.55,0.01,135,1.2,12,0.26,10.6,1.63,2.21,0.11,1.73,<0.01,0.006,0.2,84.3,1.4,0.06,151,15.6,0.08,0.34,3.3,160,26.8,19.7,0.001,0.03,0.09,0.9,<0.2,0.8,50.4,<0.01,0.02,98.1,<0.005,0.09,12.25,4,0.07,5.16,7,47.4
44.0,P1/D/BH2-012,S012,"24,20","25,20",,0.63,0.4,0.08,3.7,0.47,<10,30,0.15,0.57,0.01,0.04,3.33,1.8,10,<0.05,6.9,3.83,0.65,0.06,<0.02,0.01,0.057,0.03,1.6,0.3,0.01,225,1.3,0.01,<0.05,4.6,80,3,1.4,<0.001,0.03,0.31,1.3,0.2,0.3,9.5,<0.01,0.05,0.5,<0.005,<0.02,0.23,11,0.2,0.59,15,<0.5
45.0,P1/D/BH2-013,S013,"25,20","26,20",,0.01,0.08,0.39,7.4,<0.02,10,50,0.42,0.04,0.03,0.1,25.2,7,8,0.07,7.9,4.91,1.36,0.07,<0.02,<0.01,0.053,0.19,13.2,1,0.02,343,0.84,0.01,<0.05,9.9,180,0.9,7.8,<0.001,0.02,0.12,3.1,0.2,0.5,13.4,<0.01,0.01,2.7,<0.005,0.08,0.85,15,0.06,2.86,49,0.6
46.0,P1/D/BH2-014,S014,"26,20","27,20",,0.02,0.15,0.34,8,<0.02,10,70,0.37,0.14,0.03,0.09,15.05,5,9,0.06,13.6,4.08,1.54,0.07,0.02,<0.01,0.07,0.15,7.2,1,0.02,248,0.94,0.01,<0.05,7.7,200,2.3,6,<0.001,0.06,0.17,3.1,<0.2,0.8,32.3,<0.01,0.03,2.8,<0.005,0.06,0.63,17,0.06,1.87,58,0.6
47.0,P1/D/BH2-015,S015,"27,20","28,20",,0.02,0.08,0.5,5.2,0.03,10,90,0.58,0.05,0.02,0.09,33.1,5.1,9,0.15,7.9,3.69,1.95,0.08,0.02,<0.01,0.054,0.32,16.1,1.3,0.03,264,0.94,0.01,<0.05,8.3,230,1.6,13.3,<0.001,0.06,0.13,3.5,<0.2,0.9,33.3,<0.01,0.01,6.5,<0.005,0.13,0.77,10,0.07,3.2,36,0.8
48.0,P1/D/BH2-016,S016,,,DUPL OF P1/D/BH2-008,0.06,0.2,0.04,4.3,0.04,<10,20,0.24,0.45,0.01,0.05,1.09,1.9,10,<0.05,15.6,12.25,0.5,0.11,<0.02,<0.01,0.113,0.01,0.6,0.3,0.01,440,0.69,0.01,<0.05,7.1,30,1.9,0.7,<0.001,0.01,0.48,3.4,0.2,0.6,4.8,<0.01,0.02,0.2,<0.005,0.02,0.33,9,0.06,1.15,13,<0.5
49.0,P1/D/BH2-017,S017,"31,20","32,20",,<0.01,0.22,0.81,21.4,<0.02,20,130,1.52,0.17,0.55,0.87,57.8,37.1,32,0.12,101,7.62,2.98,0.12,0.05,<0.01,0.097,0.18,28.2,4.8,0.13,1110,2.02,0.03,0.08,30.8,2110,6.2,6.4,<0.001,<0.01,0.21,10.8,0.2,0.8,35.5,<0.01,0.03,2.5,0.005,0.09,2.36,95,0.07,20.6,184,2.7
50.0,P1/D/BH2-018,S018,"32,20","33,20",,0.01,0.14,0.33,123.5,<0.02,10,110,0.68,0.4,0.11,0.33,25.4,106.5,8,0.08,38.6,3.94,1.33,0.08,0.03,<0.01,0.05,0.17,12.3,1.6,0.04,1100,1.33,0.01,<0.05,49.5,250,2.9,7.2,<0.001,<0.01,0.19,2.9,<0.2,0.6,16.8,<0.01,0.09,4.5,<0.005,0.16,0.7,16,0.05,4.81,67,1
51.0,P1/D/BH2-019,S019,"33,20","34,20",,<0.01,0.12,0.52,55.9,<0.02,10,110,0.66,0.17,0.17,0.36,39.6,58.5,11,0.11,22.4,4.04,1.94,0.08,0.03,<0.01,0.076,0.24,19.2,1.8,0.07,1170,1.96,0.02,<0.05,30.7,570,2.5,9.6,<0.001,<0.01,0.14,4.6,<0.2,0.5,19.6,<0.01,0.03,6.9,<0.005,0.15,1.01,26,0.08,8.25,64,1.2
52.0,P1/D/BH2-020,S020,"34,20","35,20",,0.01,0.06,1.24,1.8,<0.02,<10,70,0.49,0.12,0.73,0.09,64.5,6.7,18,1.5,14.3,3.33,6.24,0.13,0.06,<0.01,0.044,0.52,31.5,6.3,0.49,418,0.75,0.06,0.12,11.3,470,3.7,52.8,<0.001,<0.01,0.1,7.4,<0.2,1.2,14.8,<0.01,0.02,12.7,0.099,0.31,2.21,32,0.09,18.65,61,1
53.0,P1/D/BH2-021,S021,"35,20","36,20",,<0.01,0.08,1.01,1.3,<0.02,10,90,0.6,0.11,0.84,0.07,72.2,5.1,13,1.35,17.6,3.26,5.34,0.12,0.05,<0.01,0.062,0.5,34.9,5.7,0.3,476,0.94,0.06,0.22,5.2,470,4.5,48.2,<0.001,<0.01,0.19,6.8,0.3,1.3,17.5,<0.01,0.02,16,0.09,0.28,3.09,17,0.26,20.3,51,1.2
54.0,P1/D/BH2-022,S022,"36,20","37,20",,<0.01,0.05,1.17,0.8,<0.02,<10,70,0.4,0.11,0.76,0.05,87.8,5.3,14,2.07,12.6,3.08,6.5,0.17,0.06,<0.01,0.042,0.62,43.3,7.1,0.39,410,0.63,0.07,0.4,4.8,440,4.6,64.3,<0.001,<0.01,0.11,7.7,<0.2,1.4,15.7,<0.01,0.02,18,0.137,0.39,4.95,20,0.16,27.4,59,1
55.0,P1/D/BH2-023,S023,"37,20","38,20",,<0.01,0.07,1.59,4,<0.02,10,90,0.81,0.19,2.11,0.06,69.2,12,20,1.15,14.2,5.28,7.85,0.14,0.07,<0.01,0.082,0.42,34.4,5.6,0.62,944,1.32,0.05,0.09,13.4,690,4.8,38,<0.001,<0.01,0.15,11.3,<0.2,0.9,37.6,<0.01,0.02,12.1,0.068,0.24,2.43,63,0.09,21.7,74,1.6
56.0,P1/D/BH2-024,S024,"38,20","39,20",,<0.01,0.06,0.97,1.5,<0.02,<10,80,0.72,0.17,1.37,0.08,83.5,5.8,12,0.77,11.6,3.32,4.93,0.11,0.05,<0.01,0.047,0.37,41.2,3,0.28,561,0.92,0.07,0.07,5.2,470,4,30.1,<0.001,<0.01,0.11,6.5,<0.2,0.6,24.2,<0.01,0.02,15.2,0.043,0.19,1.82,15,0.05,15.85,52,1.4
57.0,P1/D/BH2-025,S025,"39,20","40,20",,<0.01,0.13,2.64,1.2,<0.02,<10,140,1.25,0.56,2.61,0.14,56.7,26.6,33,6.55,73.9,7.04,12.8,0.19,0.22,<0.01,0.101,1.27,27,13.1,1.42,1030,0.86,0.06,0.07,32.8,930,4,100,<0.001,<0.01,0.2,18.4,<0.2,2.1,51.2,<0.01,0.02,8.2,0.302,0.99,1.43,155,0.11,21.6,106,3.4
58.0,P1/D/BH2-026,S026,"40,20","41,20",,<0.01,0.13,1.16,0.4,<0.02,<10,70,0.69,0.07,1.38,0.1,77.2,4.9,14,0.41,8.7,3.06,5.43,0.12,0.05,<0.01,0.037,0.32,37.7,4.2,0.37,524,0.6,0.06,<0.05,5.4,460,8,21.9,<0.001,<0.01,0.11,4.7,<0.2,1.1,26.2,<0.01,0.01,16.5,0.023,0.12,1.87,13,0.05,14.3,47,1.4
59.0,P1/D/BH2-027,S027,"41,20","42,20",,<0.01,0.06,1.82,0.4,<0.02,<10,120,0.68,0.08,1.01,0.13,78.8,8,21,2.57,40,4.81,9.17,0.15,0.06,<0.01,0.092,0.99,38.7,11.6,0.66,596,0.98,0.06,0.23,7.1,620,7.1,90.5,<0.001,<0.01,0.09,11.9,<0.2,3.4,20.7,<0.01,0.02,15.1,0.205,0.55,2.14,31,0.11,23.5,110,1.3
60.0,P1/D/BH2-028,S028,"42,20","43,20",,<0.01,0.12,1.32,0.6,<0.02,<10,100,0.41,0.06,0.86,0.07,92,6.1,16,1.54,51.1,3.44,6.8,0.18,0.1,<0.01,0.086,0.58,45.5,7.5,0.45,444,0.69,0.11,0.31,5.1,500,4.5,50.8,<0.001,0.01,0.08,9.2,0.2,3.1,17.3,<0.01,0.01,17.1,0.168,0.3,2.45,23,0.07,21.2,65,1.6
61.0,P1/D/BH3-1/001,S001,7.2,10.2,,<0.01,0.05,0.79,1.5,<0.02,10,160,1.05,0.04,0.1,0.1,121,8.3,7,0.92,19,3.79,4.43,0.17,0.05,<0.01,0.055,0.27,62,1.6,0.13,577,0.65,0.03,0.51,14.3,130,2.4,28.6,<0.001,<0.01,0.11,4.2,<0.2,2.4,14.2,<0.01,0.03,18.2,0.05,0.16,1.15,29,0.12,24.1,47,1.5
62.0,P1/D/BH3-1/002,S002,10.2,13.2,,<0.01,0.04,0.52,1,<0.02,<10,70,0.54,0.07,0.08,0.06,135,6.5,8,0.07,38.3,2.16,2.47,0.16,0.05,<0.01,0.05,0.08,73.7,0.6,0.02,358,0.74,0.02,<0.05,9.4,280,3.4,4.5,<0.001,<0.01,0.09,5.1,<0.2,0.9,9.6,<0.01,0.03,15,<0.005,0.03,1.89,20,<0.05,32,33,1.6
63.0,P1/D/BH3-1/003,S003,13.2,16.2,,<0.01,0.06,0.79,2.5,<0.02,10,40,0.78,0.13,0.12,0.2,66.8,10,14,0.11,48.6,4.16,2.78,0.11,0.06,<0.01,0.137,0.1,31.1,1,0.03,261,0.86,0.02,<0.05,15,460,14,6.2,<0.001,<0.01,0.17,10.4,0.2,1.3,6,<0.01,0.03,13.2,<0.005,0.04,2.32,59,<0.05,18.05,93,1.9
64.0,P1/D/BH3-1/004,S004,16.2,19.2,,<0.01,0.11,0.55,2.3,<0.02,10,70,0.5,0.18,0.08,0.13,59.4,5.7,7,0.08,28.4,2.24,2.15,0.1,0.06,<0.01,0.123,0.1,27.9,1.1,0.02,565,2.27,0.01,<0.05,7.6,340,16.4,6.6,<0.001,<0.01,0.19,5.8,<0.2,1.4,11.4,<0.01,0.02,12.5,<0.005,0.09,1.87,13,<0.05,15.6,46,2.2
65.0,P1/D/BH3-1/005,S005,19.2,20.2,,<0.01,0.2,0.59,3.9,<0.02,10,160,0.57,0.22,0.12,0.56,71.2,17.3,7,0.08,28.7,3.21,2.12,0.12,0.05,<0.01,0.069,0.13,34.8,1,0.02,1170,1.3,0.01,<0.05,14.4,560,22.1,7,<0.001,<0.01,0.15,6.3,<0.2,1.9,12.9,<0.01,0.03,12.4,<0.005,0.1,2.43,25,0.06,17.4,105,1.9
66.0,P1/D/BH3-1/006,S006,20.2,21.2,,<0.01,0.16,0.5,0.3,<0.02,<10,40,0.37,0.85,0.05,0.1,76.4,2.2,6,0.09,13.6,0.85,1.64,0.11,0.04,0.01,0.072,0.19,37.8,0.6,0.01,179,0.2,0.01,<0.05,2.5,180,28.4,8.8,<0.001,<0.01,0.13,2.8,<0.2,0.8,8.4,<0.01,0.02,14.6,<0.005,0.06,1.16,5,0.05,11.15,10,1.5
67.0,P1/D/BH3-1/007,S007,21.2,22.2,,<0.01,0.14,0.55,2,<0.02,<10,70,0.47,0.21,0.12,1.1,66.9,8,7,0.1,17.4,3.46,1.89,0.11,0.03,0.01,0.07,0.17,32.2,0.7,0.02,615,0.65,0.01,<0.05,12.6,530,28.4,8.1,<0.001,<0.01,0.18,5.8,<0.2,1,11.7,<0.01,0.01,13.6,<0.005,0.07,1.87,12,0.1,15.4,165,1.3
68.0,P1/D/BH3-1/008,S008,22.2,23.2,,<0.01,0.24,0.51,5.4,<0.02,<10,290,0.64,0.06,0.02,0.09,262,1.1,6,0.05,19.3,2.44,5.16,0.21,1.18,0.01,0.077,0.02,112.5,1.4,0.01,170,3.82,0.01,4.72,4.1,120,6,1,<0.001,0.04,0.65,0.3,<0.2,3.8,21.9,0.02,0.02,11.7,0.011,0.02,2.1,4,0.27,12.75,52,49.2
