Sample ID,Au,Ag,As,Bi,Cu,Pb,Sb,Zn
T0252,0.6,10.35,62.8,17.6,391,605,0.66,73
T0253,0.99,8.36,72.8,13,967,871,0.59,113
T0254,1.51,69.6,32.5,189,649,2670,0.78,166
T0255,0.68,12.4,9.1,25.1,848,917,0.28,262
T0256,0.17,0.66,21.4,1.33,941,107,0.39,788
T0257,0.08,0.72,7,1.76,352,172,0.38,336
T0258,0.04,0.38,3,1.4,121,61.4,0.24,115
T0259,0.12,0.27,8.8,0.51,54.4,28.5,0.27,81
T0260,0.01,0.05,1,0.3,10,10.3,0.08,81
T0261,<0.01,0.03,1.3,0.11,15.2,10.2,0.08,78
T0262,0.01,0.03,0.5,0.18,28.3,10.7,0.06,97
T0263,0.01,0.02,1,0.11,14.1,9.2,0.07,93
T0264,0.04,0.06,5.2,0.32,12.8,13.3,0.09,108
T0265,0.01,1.13,1.8,0.28,21.9,1375,0.61,76
T0266,<0.01,0.02,1.2,0.11,14.5,11.8,0.08,45
T0267,<0.01,0.03,1,0.08,16.1,16.9,<0.05,42
T0268,<0.01,0.04,0.7,0.05,7.2,20.7,0.05,78
T0269,<0.01,0.01,1.5,0.26,54.7,7,0.1,113
T0270,<0.01,0.01,0.8,0.06,166,8.6,0.05,83
T0271,0.02,0.03,3,0.1,121.5,29,0.07,94
T0272,<0.01,0.03,19.6,0.16,127,7.6,0.27,131
T0273,<0.01,0.01,2.5,0.17,78.1,6.3,0.06,87
T0274,<0.01,0.01,0.9,0.04,14.1,4.6,0.05,64
T0275,0.01,0.01,0.8,0.09,16.1,5.4,0.07,71
T0276,0.01,0.02,0.7,0.08,15.5,2.8,<0.05,70
T0277,<0.01,0.02,0.8,0.07,10.2,5.2,0.05,111
T0278,0.01,0.02,0.6,0.07,10.3,5.8,0.07,63
T0279,0.01,0.02,0.9,0.05,12,2.8,0.05,100
T0280,0.01,0.07,0.5,0.07,4.3,8,0.05,66
T0281,0.01,0.04,0.5,0.12,3.5,23.2,0.07,66
T0282,<0.01,0.11,2.3,0.42,10.1,12.2,0.06,145
T0283,0.02,0.09,0.7,0.25,5.9,14.1,<0.05,115
T0284,0.01,0.05,0.8,0.15,4.3,15.4,0.06,59
T0285,0.01,0.03,1,0.09,3.9,19.8,0.05,14
T0286,0.01,0.03,0.6,0.04,2.3,7.4,<0.05,9
T0287,0.01,0.02,1.5,0.08,3.1,16.5,0.12,9
T0288,0.01,0.02,0.8,0.03,2.4,9.6,0.09,7
T0289,<0.01,0.02,0.8,0.04,2.9,14.2,0.05,7
T0290,0.01,0.02,0.7,0.03,2.1,10,<0.05,6
T0291,0.01,0.03,1,0.05,4.3,16.8,0.09,21
T0292,<0.01,0.02,1.1,0.09,3.2,12.8,0.05,14
T0293,0.04,0.05,1.2,0.54,19.1,5.1,0.12,31
T0294,0.02,0.08,1.8,0.35,35,4.7,0.14,38
T0295,0.06,0.13,2.5,0.7,115,16.7,0.34,42
T0296,0.03,0.21,1.7,1.73,95.3,20.4,0.19,55
T0297,0.05,0.15,1.9,0.57,62.9,10.2,0.12,57
T0298,0.04,0.08,1.5,0.16,15.1,7.3,0.2,84
T0299,0.04,0.05,0.8,0.14,12.7,6,0.18,84
T0300,0.04,0.12,2.7,0.39,46.5,10.7,0.18,68
T0301,0.04,0.16,3.8,0.39,30.4,25.1,0.17,59
T0302,0.06,0.23,2.4,1.03,28.3,40.5,0.19,92
T0303,0.14,0.25,3.5,0.74,72,73.4,0.42,90
T0304,0.19,0.23,6.4,2.87,93.8,137,0.27,56
T0305,0.06,0.18,2.7,0.45,123,27.2,0.18,37
T0306,0.06,0.15,3.1,0.73,70.9,37.5,0.17,49
T0307,0.16,0.4,8.7,0.9,204,59.5,0.23,69
T0308,0.16,0.38,3.9,0.3,166,42.2,0.17,63
T0309,0.17,0.47,6.2,3.57,178,88,0.19,55
T0310,0.11,0.17,2.6,0.36,81.5,11.8,0.15,74
T0311,0.04,0.09,1.5,0.28,44,9.2,0.11,78
T0312,0.09,0.12,2.2,0.44,67.9,9.6,0.18,63
T0313,0.11,0.11,2.6,0.35,89.9,11.5,0.19,97
T0314,0.05,0.06,2.2,0.63,39.1,9.7,0.12,68
T0315,0.24,0.16,2.9,0.71,159.5,13.5,0.24,58
T0316,0.39,0.2,7,1.25,351,16.9,0.33,112
T0317,0.2,0.17,2.2,0.57,345,10.3,0.24,84
T0318,0.28,0.42,3.7,0.71,451,13.2,0.55,67
T0319,0.32,0.51,6.8,2.1,771,14.2,1.01,97
T0320,6.51,5.1,41.7,15.3,5840,55.2,5.13,275
T0321,1.54,1.67,33.9,4.15,648,176,0.86,236
T0322,0.51,1.7,9.7,1.43,320,105,0.19,128
T0323,0.21,1.6,5.7,0.69,239,34.6,0.14,111
T0324,1.29,2.06,17.4,3.35,346,90.1,0.26,146
