Sample ID,Au,Ag,As,Bi,Cu,Pb,Sb,Zn
R0094,<0.01,0.1,2.1,0.11,63.8,2.6,0.11,122
R0095,<0.01,0.05,3.6,0.11,20.8,4.7,0.15,161
R0096,<0.01,0.03,0.9,0.08,14.1,7.3,0.11,99
R0097,<0.01,0.04,0.9,0.07,31.1,6.3,0.1,69
R0098,<0.01,0.06,2.2,0.13,36.4,8.3,0.15,74
R0099,<0.01,0.06,1.3,0.08,40.7,5.5,0.13,55
R0100,<0.01,0.07,1.2,0.14,31.8,9.5,0.11,75
R0101,<0.01,0.03,10.6,0.21,33.4,2.2,0.12,21
R0102,<0.01,0.05,0.5,0.12,40.4,6,0.06,128
R0103,<0.01,0.04,0.5,0.03,9.7,4.5,0.05,69
R0104,<0.01,0.08,1.4,0.13,64.6,5.1,0.06,110
R0105,<0.01,0.08,1.2,0.1,69.8,6,0.08,142
R0106,<0.01,0.06,0.7,0.09,59,4.9,0.06,107
R0107,<0.01,0.05,1,0.08,34.6,5.8,0.09,90
R0108,<0.01,0.03,0.5,0.11,22.2,5.5,0.08,90
R0109,<0.01,0.03,0.7,0.14,28.6,6.8,0.11,68
R0110,<0.01,0.02,1.7,0.07,11.7,1.9,0.08,49
R0111,0.01,0.08,21.7,0.18,33.1,13,0.23,62
R0112,<0.01,0.07,13.6,0.19,55.2,6.3,0.22,35
R0113,<0.01,0.03,10.4,0.22,34,2.2,0.13,21
R0114,<0.01,0.01,0.2,0.01,2.7,13.5,<0.05,3
R0115,0.01,0.06,15.3,0.28,43,3.7,0.27,53
R0116,<0.01,0.04,16.9,0.36,34.1,3.4,0.16,33
R0117,<0.01,0.07,12.8,0.39,61,9.3,0.23,28
R0118,9.49,1.8,96.6,0.96,8.9,34.1,0.29,50
R0119,0.32,0.17,22.6,0.16,11.5,23.3,0.24,45
R0120,0.56,0.23,39.4,0.13,11.8,11.1,0.33,48
R0121,0.11,0.11,21.3,0.1,6.1,10.2,0.27,43
R0122,0.02,0.11,23.6,0.14,14.8,17.8,0.29,58
R0123,0.01,0.07,6.9,0.13,7.5,8.6,0.13,28
R0124,0.04,0.1,12.8,0.31,30.1,17.6,0.35,79
R0125,0.19,0.23,38.7,0.24,18.5,8.8,0.86,129
R0126,0.58,0.26,21.8,0.16,11.4,24.3,0.25,45
R0127,0.01,0.15,232,0.3,7.9,9.2,0.83,131
R0128,0.01,0.1,121,0.42,9.4,9.8,0.57,213
R0129,<0.01,0.05,126,0.2,14,11.4,1.55,147
R0130,0.01,0.07,54.7,0.3,108.5,42.9,1.08,267
R0131,<0.01,0.11,19.4,0.3,134,25,0.85,411
R0132,0.01,0.14,18.3,0.74,64.1,16.8,0.79,362
R0133,<0.01,0.07,10.4,0.18,97.3,8.6,0.6,251
R0134,<0.01,0.01,0.1,0.02,3.5,14.6,<0.05,3
R0135,<0.01,0.05,3.2,0.13,36.8,11.7,0.18,111
R0136,0.04,0.11,4.1,0.28,42.3,26,0.35,390
R0137,0.01,0.12,3.2,0.26,119.5,17.2,0.19,197
R0138,0.01,0.03,1.4,0.03,13.2,9.8,0.05,85
R0139,<0.01,0.08,1,0.11,85.9,4,0.05,179
R0140,<0.01,0.04,0.9,0.05,34.3,6.5,0.05,161
R0141,<0.01,0.04,0.6,0.03,48.3,1.3,0.07,78
R0142,<0.01,0.09,1,0.07,87.6,2.4,0.08,98
R0143,0.01,0.05,1.5,0.05,45.9,8.8,0.12,249
R0144,<0.01,0.04,0.9,0.07,24.7,5.3,0.06,396
R0145,<0.01,0.02,0.5,0.02,4.2,2.6,0.07,186
R0146,<0.01,0.02,0.4,0.02,4.8,2.4,0.06,182
R0147,<0.01,0.01,0.8,0.07,5.7,2.1,0.06,83
R0148,<0.01,0.02,0.7,0.03,3.9,5.9,0.06,55
R0149,<0.01,0.01,0.4,0.04,6.3,4.3,0.06,88
R0150,<0.01,0.01,0.5,0.04,6.7,3.2,0.06,88
R0151,<0.01,0.02,1.2,0.18,58.9,1.3,0.15,74
R0152,<0.01,0.03,0.6,0.04,45.7,1.3,<0.05,114
R0153,<0.01,0.02,0.5,0.03,15.5,4,0.06,72
R0154,<0.01,0.01,0.4,0.04,13.9,2,<0.05,94
R0155,0.01,0.13,1.7,0.57,113.5,65,0.12,75
R0156,<0.01,0.26,2.3,0.81,58.9,38.2,0.14,65
R0157,0.01,0.26,1.1,0.2,105,82.8,0.1,99
R0158,<0.01,0.01,0.4,0.03,15.5,3.1,0.05,84
R0159,<0.01,0.02,0.5,0.04,4.1,3.1,0.05,88
R0160,<0.01,0.02,0.3,0.08,2.1,1.7,0.07,106
R0161,<0.01,0.01,0.3,0.05,5,1.6,0.08,79
R0162,<0.01,0.02,0.6,0.1,6.8,3.2,0.11,110
R0163,<0.01,0.01,0.5,0.09,5.4,3,0.08,68
R0164,0.01,0.03,1.6,0.19,21,2.2,0.2,90
R0165,<0.01,0.01,0.1,0.02,11.6,1.7,0.05,99
R0166,<0.01,0.01,0.5,0.07,5.3,1.6,0.06,112
R0167,<0.01,<0.01,0.4,0.07,4.1,1.6,0.05,121
R0168,<0.01,0.02,1.1,0.14,4.1,3.8,0.14,62
R0169,<0.01,0.01,1,0.11,42.9,2.3,0.12,89
R0170,<0.01,0.02,1.1,0.14,52.3,1.1,0.14,77
R0171,<0.01,0.02,1.1,0.1,60.5,1.8,0.1,109
R0172,<0.01,0.01,0.2,0.01,2.3,13,<0.05,4
R0173,<0.01,0.02,1.1,0.1,37.6,1.5,0.09,46
R0174,<0.01,0.02,0.7,0.06,34.7,1.3,0.08,70
R0175,<0.01,0.02,0.9,0.09,40.4,1.2,0.09,79
R0176,<0.01,0.02,2.4,0.13,25.6,1.6,0.09,98
R0177,<0.01,0.02,1,0.1,52.4,1.6,0.1,108
R0178,<0.01,0.01,0.6,0.06,6.4,1.4,0.05,91
R0179,<0.01,0.01,0.3,0.06,8.5,5,0.07,84
R0180,0.01,0.02,2.6,0.15,7.4,4,0.22,102
R0181,0.01,0.02,2,0.05,21.7,2.4,0.06,32
R0182,<0.01,0.02,1.1,0.08,13.5,4.3,0.05,90
R0183,<0.01,0.04,0.4,0.1,9.3,6.5,0.05,51
R0184,<0.01,0.02,0.9,0.09,17.3,4,0.06,81
R0185,<0.01,0.02,0.5,0.06,16.2,2.5,0.06,97
R0186,<0.01,0.02,0.5,0.08,58.3,3.1,<0.05,136
R0187,<0.01,0.04,0.5,0.06,63.7,4.8,0.09,148
R0188,<0.01,0.03,0.8,0.16,29.3,5.9,0.09,146
R0189,<0.01,0.02,0.4,0.03,10.4,2.1,0.05,133
R0190,<0.01,0.02,0.2,0.03,11.2,1.8,<0.05,78
R0191,<0.01,0.02,0.3,0.01,6.9,1.9,<0.05,106
R0192,<0.01,0.01,0.4,0.18,7.2,2.3,<0.05,89
R0193,<0.01,0.01,0.4,0.23,3.9,2.2,<0.05,105
R0194,<0.01,0.01,0.4,0.09,20,1.8,0.05,120
R0195,<0.01,0.01,0.4,0.09,22.5,1.2,0.06,118
R0196,<0.01,0.01,0.7,0.07,3.6,2.5,0.06,111
R0197,<0.01,0.02,0.6,0.04,30.7,3.6,0.05,67
R0198,<0.01,0.01,0.8,0.1,22.8,2,<0.05,122
R0199,<0.01,0.01,2,0.09,21.6,2.6,0.06,126
R0200,<0.01,0.01,2.3,0.08,14.5,2.4,0.09,124
R0201,<0.01,0.03,1.3,0.11,18.2,8.4,0.11,103
R0202,<0.01,0.01,2.6,0.15,10.7,1.7,0.06,117
R0203,<0.01,0.02,1,0.09,5.6,4.4,0.05,84
R0204,<0.01,0.03,1.2,0.16,16.2,7.9,0.07,99
R0205,<0.01,0.01,1.9,0.14,32.9,3.5,0.1,105
R0206,<0.01,0.01,1.6,0.05,32.1,2.8,0.08,153
R0207,<0.01,0.02,0.8,0.05,70.5,2.9,0.08,103
R0208,<0.01,0.02,0.5,0.04,21.7,2.1,0.05,101
R0209,<0.01,0.02,0.6,0.02,8.5,1.6,<0.05,47
R0210,<0.01,0.01,0.8,0.11,8.2,2.2,0.05,72
R0211,<0.01,0.02,0.8,0.07,18.5,4.4,0.07,68
R0212,<0.01,0.02,1.2,0.16,11.1,2.4,0.06,89
R0213,<0.01,0.02,0.6,0.1,13.2,3.7,0.07,99
R0214,<0.01,0.02,1.2,0.11,29.2,4.7,0.1,141
R0215,<0.01,0.02,0.9,0.05,56.7,3,0.06,74
R0216,<0.01,0.02,0.8,0.06,52,3,0.05,69
R0217,<0.01,0.03,1.5,0.11,18.6,8.9,0.09,101
R0218,<0.01,0.01,0.3,0.01,1.6,11.6,<0.05,3
R0219,0.01,0.04,3,0.14,39.4,3.8,0.16,97
R0220,<0.01,0.04,1.1,0.13,119.5,1.7,0.12,96
R0221,0.01,0.03,2.1,0.13,17,2.9,0.16,116
R0222,0.01,0.1,6,0.26,57.6,31.6,0.22,96
R0223,<0.01,0.02,0.9,0.08,15.9,3.2,0.06,94
R0224,<0.01,0.02,0.6,0.05,7.8,7.2,0.05,43
R0225,0.01,0.01,0.6,0.02,1.6,4.9,<0.05,7
R0226,<0.01,0.03,0.6,0.08,4.2,4.8,0.06,156
R0227,<0.01,0.01,0.6,0.02,2.4,3.8,0.08,87
R0228,0.01,0.01,0.6,0.07,4.4,4.8,0.06,156
R0229,<0.01,<0.01,0.4,0.02,12.6,7.5,0.05,215
R0230,<0.01,0.01,0.4,0.07,3.7,3.6,0.05,158
R0231,<0.01,0.01,0.4,0.11,11.7,5.4,0.06,118
R0232,<0.01,0.01,0.6,0.01,3.1,17.1,<0.05,20
R0233,0.01,0.01,0.7,0.01,3.2,12,0.05,7
R0234,<0.01,0.02,0.7,0.03,2.2,14,<0.05,23
R0235,<0.01,0.02,0.7,0.01,2.2,15.9,<0.05,20
R0236,<0.01,0.02,0.6,0.06,6.3,11.3,0.06,116
R0237,<0.01,0.02,0.6,0.04,12.5,5.7,0.05,128
R0238,<0.01,0.04,4.5,0.06,13.3,7.6,0.23,117
R0239,<0.01,0.04,1.6,0.08,25.6,7.7,0.07,281
R0240,0.01,0.05,1.5,0.13,20.3,7.4,0.1,185
R0241,<0.01,0.05,1.1,0.21,24.9,3.3,0.08,255
R0242,0.01,0.13,3,0.32,37.7,28,0.14,878
R0243,<0.01,0.05,1.2,0.07,52.8,13.3,0.08,420
R0244,0.01,0.09,3.8,0.11,30.1,13.4,0.19,124
R0245,<0.01,0.02,1.5,0.04,3.1,4.5,0.2,101
R0246,<0.01,0.04,0.9,0.07,14.3,5.8,0.16,166
R0247,<0.01,0.04,0.8,0.03,18.7,4.7,0.08,100
R0248,0.01,0.03,2.9,0.04,7.8,2.7,0.08,80
R0249,<0.01,0.03,1.2,0.13,3.2,3.5,0.13,170
R0250,<0.01,0.01,0.2,0.02,10.5,2.6,0.1,161
R0251,<0.01,0.04,1.5,0.07,24.8,7.6,0.09,254
R0252,<0.01,0.02,0.4,0.02,12.5,1.2,<0.05,137
R0253,<0.01,0.02,0.8,0.05,10.8,1.7,0.06,158
R0254,<0.01,0.04,1,0.06,18.3,3.6,0.05,157
R0255,<0.01,0.02,0.6,0.15,9.2,2.2,0.07,215
R0256,<0.01,0.02,0.5,0.06,10.1,4.5,0.05,119
R0257,<0.01,0.02,0.5,0.05,15.7,2.7,0.05,139
R0258,<0.01,0.02,0.9,0.08,9,2.2,0.07,159
