Sample ID,Au,Ag,As,Bi,Cu,Pb,Sb,Zn
R0405,0.29,0.6,27.4,3.3,31.4,32.2,0.65,145
R0406,0.4,0.37,43.7,1.44,56.8,19,0.9,220
R0407,<0.01,0.01,0.3,0.02,2,12,<0.05,4
R0408,0.51,0.67,40.4,1.44,78.4,25.5,1.78,226
R0409,0.13,1.18,89.9,1.28,42.4,38.7,1.58,162
R0410,0.02,0.06,4.3,0.25,9.3,6.7,0.16,144
R0411,0.01,0.05,1.6,0.19,6.7,5.3,0.07,170
R0412,0.01,0.06,3.9,0.47,31.1,9.8,0.23,163
R0413,0.01,0.04,1.2,0.16,6.9,5.8,0.09,172
R0414,0.01,0.18,6.2,0.46,41,8.8,0.2,145
R0415,0.01,0.07,9.5,0.34,45.1,9.9,0.24,160
R0416,<0.01,0.15,3.5,0.52,31.7,8.8,0.2,172
R0417,0.01,0.22,13,3.19,70.5,12.9,0.18,231
R0418,<0.01,0.06,10,0.73,61.6,6,0.12,168
R0419,<0.01,0.02,2.6,0.17,12.1,5.1,0.1,139
R0420,0.01,0.04,3,0.1,15.2,4.3,0.09,130
R0421,0.01,0.07,4.6,0.2,58.7,3.3,0.12,131
R0422,<0.01,0.04,5,0.16,22.1,3.8,0.1,148
R0423,<0.01,0.03,2.3,0.09,8.4,4,0.06,110
R0424,<0.01,0.02,1.3,0.1,5.1,4.2,0.06,110
R0425,<0.01,0.06,4.8,0.14,31,3.3,0.13,99
R0426,0.01,0.13,10.8,0.21,48.4,5.6,0.13,60
R0427,<0.01,0.07,1.9,0.14,41.5,2.1,0.07,85
R0428,<0.01,0.09,1.9,0.17,61.3,2,0.07,55
R0429,<0.01,0.01,35.3,0.27,4.3,2.6,0.22,65
R0430,<0.01,0.01,71.4,0.2,1,0.7,0.31,21
R0431,0.01,0.01,93.8,0.26,0.9,0.6,0.52,22
R0432,<0.01,0.01,189,0.5,0.9,0.5,0.78,18
R0433,<0.01,0.01,59,0.44,1.2,0.9,0.24,26
R0434,<0.01,0.01,69.8,1.19,4.4,0.9,0.31,30
R0435,<0.01,0.01,204,0.86,2.4,1.2,0.72,25
R0436,<0.01,0.01,68.3,0.93,4,0.9,0.31,22
R0437,<0.01,0.01,58.7,1.04,4.3,0.9,0.27,22
R0438,0.01,0.01,29.5,2.54,15.3,0.6,0.15,20
R0439,<0.01,0.01,17.4,2.72,16.1,0.5,0.11,21
R0440,<0.01,0.01,22.4,2.05,9.3,0.7,0.09,32
R0441,0.01,0.01,43.1,1.48,5.4,0.4,0.18,18
R0442,<0.01,0.01,22.9,2.67,11.5,0.4,0.1,17
R0443,<0.01,0.01,12.7,2.11,11.3,0.5,0.09,21
R0444,0.01,0.01,38.1,2.42,10.8,0.5,0.21,27
R0445,0.01,0.01,97.3,2.22,7.8,0.6,0.47,15
R0446,<0.01,0.01,59,1.93,6,0.5,0.31,11
R0447,<0.01,0.01,62.4,2.28,6.8,0.6,0.18,28
R0448,<0.01,0.01,60.3,1.22,3.5,0.7,0.21,20
R0449,0.01,0.01,157,1.37,3.3,0.6,0.56,19
R0450,0.01,0.01,239,0.46,0.5,0.9,0.93,21
R0451,0.48,0.7,38,1.2,76.4,26.3,1.98,235
R0452,<0.01,0.01,160,0.31,0.5,0.5,0.59,13
R0453,0.01,0.01,171,0.77,1.8,0.6,0.62,13
R0454,<0.01,0.01,92.5,2.28,5.9,0.5,0.46,15
R0455,<0.01,0.01,193.5,1.27,3.2,0.7,0.74,13
R0456,<0.01,0.01,128,1.09,2.8,0.6,0.54,11
R0457,<0.01,0.01,10.4,1.96,8.5,0.9,0.11,15
R0458,<0.01,0.01,15,2.11,9.3,0.6,0.11,16
R0459,0.01,0.02,5.5,0.45,6.5,8.6,0.13,58
R0460,<0.01,0.02,5.6,0.21,6.3,7.7,0.14,95
R0461,0.01,0.11,3.8,0.27,26.9,5.9,0.13,174
R0462,<0.01,0.07,4.6,0.19,15.6,7.1,0.17,170
R0463,0.01,0.02,2.5,0.08,2.3,5.8,0.06,135
R0464,<0.01,0.02,1,0.1,5.4,6.1,0.06,112
R0465,0.01,0.06,1.8,0.18,53.1,3.1,0.08,113
R0466,<0.01,0.02,0.4,0.05,10.2,5.3,<0.05,56
R0467,<0.01,0.03,0.7,0.06,12.2,5.1,0.06,52
R0468,0.01,0.05,0.8,0.09,27,4.8,0.08,55
R0469,<0.01,0.03,0.8,0.09,52.9,8.3,0.07,74
R0470,0.01,0.05,5,0.13,97.7,9.8,0.13,61
R0471,0.01,0.04,2.8,0.08,27.1,8.4,0.11,50
R0472,0.01,0.06,2.3,0.27,58.4,8.8,0.09,114
R0473,0.01,0.05,1.9,0.1,36.6,9,0.08,79
R0474,0.01,0.07,13.7,0.16,17.6,9.4,0.12,60
R0475,0.08,0.1,44.5,0.61,16.4,8.2,0.18,37
R0476,0.67,0.68,40.1,1.04,78.5,26.7,0.21,259
R0477,0.01,0.05,1,0.12,41.6,7.4,0.06,77
R0478,0.01,0.08,0.6,0.13,80.1,4.5,0.08,63
R0479,0.01,0.03,0.4,0.06,19,6.5,0.05,66
R0480,0.01,0.04,0.5,0.11,29.2,9,0.07,117
R0481,0.01,0.04,0.7,0.13,10.1,8.5,0.12,52
R0482,0.01,0.05,1.2,0.12,11.4,11.5,0.08,39
R0483,0.05,0.11,3,0.17,16.2,34.1,0.09,92
R0484,0.02,0.25,3.6,0.16,20.1,13.9,0.12,49
R0485,5.93,10.8,36.1,59.6,421,207,0.26,121
R0486,0.82,0.8,43.6,1.17,75.8,33.2,0.2,259
R0487,0.01,0.02,0.3,0.03,2.4,11.6,<0.05,9
R0488,0.1,0.22,32.9,0.69,85.6,11,0.21,94
R0489,0.01,0.26,3.3,1.21,37.8,26.1,0.08,106
R0490,0.01,0.27,9.8,0.49,12.9,20.2,0.09,94
R0491,0.01,0.23,9.9,0.32,51.6,10.3,0.13,66
R0492,<0.01,0.14,11.5,0.28,21.3,14,0.15,94
R0493,0.01,0.22,6.3,0.27,56.1,9.9,0.13,124
R0494,<0.01,0.18,11.8,0.23,56.8,10.6,0.18,90
R0495,0.01,0.12,6.8,0.2,24,11.3,0.12,75
R0496,<0.01,0.11,2.2,0.35,11.4,13.4,0.1,103
R0497,<0.01,0.13,4.5,0.43,12.5,16.2,0.13,93
R0498,<0.01,0.25,7.8,1.15,14.2,21.6,0.18,131
R0499,<0.01,0.51,3,5.56,16.1,28.3,0.16,95
R0500,<0.01,0.24,4.7,0.91,36.2,18.9,0.21,154
R0501,0.01,0.41,9.3,0.53,60.7,12.4,0.12,71
R0502,<0.01,0.11,2.2,0.25,42.9,6.9,0.1,110
R0503,0.01,0.14,4.7,0.22,48.7,5.8,0.18,77
R0504,<0.01,0.09,1.7,0.19,55.9,6.1,0.08,95
R0505,<0.01,0.14,4.1,0.31,73.1,6.6,0.16,127
R0506,0.06,0.36,8.7,2.03,10,29.7,0.18,116
R0507,<0.01,0.21,9.6,1.21,25.3,12.2,0.26,98
R0508,<0.01,0.01,0.2,0.02,2.2,12.6,<0.05,5
R0509,<0.01,0.13,29,0.45,23.6,7.6,0.29,97
R0510,0.01,0.24,40.1,0.74,132,6.6,0.36,72
R0511,0.01,0.16,93.6,0.35,54,7.8,0.52,73
R0512,<0.01,0.17,18.7,0.45,69.8,6.2,0.31,159
R0513,<0.01,0.12,4.9,0.5,43.6,13.7,0.12,133
R0514,<0.01,0.06,2.5,0.25,20.6,5.2,0.13,158
R0515,0.01,0.06,1.1,0.38,12.3,4.6,0.08,167
R0516,0.01,0.07,1.8,1.2,10.2,6.6,0.15,155
R0517,0.01,0.25,6.3,0.4,38.5,7.6,0.34,167
R0518,<0.01,0.05,1.3,0.12,9.8,3.9,0.12,156
R0519,<0.01,0.15,2.2,0.35,107,6.2,0.19,218
R0520,<0.01,0.17,12.1,0.22,30.8,7.3,0.33,133
R0521,0.01,0.38,52.5,0.27,76.8,11,0.63,182
R0522,<0.01,0.07,15.1,0.05,49.9,1.6,0.23,78
R0523,<0.01,0.06,5.5,0.04,53.8,0.4,0.08,59
R0524,<0.01,0.22,3.6,0.17,121.5,2.2,0.15,259
R0525,<0.01,0.15,4.4,0.14,97.9,1.3,0.14,112
R0526,0.01,0.25,9.1,1.22,24.2,12.1,0.28,101
R0527,<0.01,0.12,7.9,0.1,55.7,1.2,0.09,64
R0528,<0.01,0.11,3.7,0.06,51.6,1.5,0.1,72
R0529,<0.01,0.08,3.1,0.11,39.8,2.4,0.09,98
R0530,<0.01,0.15,3.3,1.35,61,6.7,0.13,153
R0531,<0.01,0.21,6.2,0.39,106,9.8,0.19,106
R0532,<0.01,0.07,3.9,0.23,20.2,5.1,0.11,141
R0533,<0.01,0.1,6,0.14,10.6,5.7,0.26,114
R0534,<0.01,0.12,5.3,0.15,33.1,5.7,0.22,81
R0535,<0.01,0.04,3.2,0.07,6.7,4.7,0.2,87
R0536,<0.01,0.02,0.5,0.07,4.4,4.4,0.06,78
R0537,<0.01,0.03,0.8,0.06,5.8,4.1,0.07,98
R0538,<0.01,0.03,0.7,0.1,5.1,4.3,0.07,116
R0539,<0.01,0.03,0.7,0.09,7.6,5,0.07,78
R0540,0.01,0.05,2.2,0.1,12.7,9.6,0.12,45
R0541,<0.01,0.04,1.7,0.07,7.1,11.6,0.13,59
R0542,<0.01,0.04,1.9,0.1,12.2,8.4,0.18,41
R0543,<0.01,0.03,0.9,0.1,6.2,4.5,0.11,68
R0544,<0.01,0.03,1.4,0.07,10,5.2,0.09,67
R0545,<0.01,0.06,2.4,0.05,9.5,4.3,0.17,80
R0546,<0.01,0.03,1.1,0.07,9.8,3.8,0.08,74
R0547,<0.01,0.04,1.1,0.24,56.9,10.4,0.06,108
R0548,<0.01,0.03,1.6,0.39,17.4,6.4,0.17,87
R0549,<0.01,0.07,2,0.17,51.3,8.4,0.08,66
R0550,<0.01,0.07,1.9,0.12,34.8,11.3,0.08,55
R0551,0.8,1.35,34.5,5.37,639,72.1,0.34,163
R0552,<0.01,0.12,11.6,0.3,36.9,10.5,0.54,54
R0553,<0.01,0.14,4.1,0.1,14.7,9.9,0.24,75
R0554,0.01,0.08,4.2,0.63,42,18.4,0.29,154
R0555,<0.01,0.09,3.8,0.78,33.4,13.8,0.14,108
R0556,<0.01,0.08,4.3,0.9,28.1,6.9,0.21,32
R0557,<0.01,0.14,2.2,2.56,30.7,8.6,0.2,47
R0558,<0.01,0.19,3,1.52,33.6,9.6,0.25,181
R0559,0.01,0.17,6.2,1.92,72.5,10.2,0.23,107
R0560,1.8,4.65,22.3,35.6,992,165.5,0.38,55
R0561,0.48,0.74,33.4,4.56,655,67.9,0.33,165
R0562,<0.01,0.02,0.4,0.06,7,15.7,<0.05,7
R0563,0.07,0.24,6.2,0.55,52.9,66.7,0.13,121
R0564,0.01,0.32,26.8,0.45,21.3,33.7,0.21,104
R0565,0.49,1.19,11.7,2.43,39.2,159,0.13,232
R0566,0.04,1.89,20.2,3.33,72.8,243,0.22,301
R0567,0.01,0.58,40.4,0.36,103,5.8,0.44,92
R0568,0.01,0.44,15.9,0.19,66.3,8,0.3,84
R0569,0.06,0.49,16.9,3.08,25.1,22.6,0.12,46
R0570,0.57,0.91,14.2,1.7,46,18.7,0.16,50
R0571,3.27,1.87,27,5.47,352,115.5,0.27,478
R0572,0.08,0.08,2,0.39,52.8,6.7,0.11,157
R0573,0.01,0.05,0.7,0.19,16.9,4.5,0.09,141
R0574,<0.01,0.03,1.5,0.2,19.2,4.2,0.13,245
R0575,<0.01,0.09,2.1,0.3,22.8,4.2,0.09,143
R0576,0.07,0.13,51.2,0.27,37,6.2,0.23,207
R0577,<0.01,0.09,1.7,0.56,64.7,5.2,0.08,148
R0578,<0.01,0.1,1.6,0.84,17.2,7.2,0.07,162
R0579,0.01,0.19,3.4,1.1,63.1,10.3,0.11,469
R0580,0.02,0.56,7.3,2,136.5,160.5,0.42,265
R0581,0.01,0.21,20.1,0.68,120,15,0.36,392
R0582,0.01,0.19,50.2,0.3,48.2,11.2,0.49,151
R0583,0.03,0.09,53.5,0.28,39,6.3,0.24,212
R0584,0.01,0.04,0.3,0.02,2.3,13.8,<0.05,6
R0585,<0.01,0.06,3,0.19,19.5,6.2,0.21,198
R0586,0.01,0.15,7.7,1.33,66,9.4,0.23,242
R0587,<0.01,0.09,5.3,0.19,37.3,2.5,0.1,186
R0588,<0.01,0.03,2.4,0.04,24.8,1.7,0.07,64
R0589,<0.01,0.05,2,0.1,24.4,3.5,0.08,135
R0590,<0.01,0.08,4.8,0.05,94.7,0.7,0.09,38
R0591,<0.01,0.14,11.5,0.07,105,0.8,0.08,37
R0592,<0.01,0.08,2.6,0.03,84.5,0.5,0.1,34
R0593,<0.01,0.07,1.9,0.03,70.7,0.5,0.09,41
R0594,<0.01,0.06,4.5,0.05,39.7,1,0.07,42
R0595,<0.01,0.12,3.2,0.09,59.6,2.2,0.08,70
R0596,<0.01,0.05,1.4,0.05,20.2,2.2,0.05,120
R0597,<0.01,0.1,1.9,0.1,33.3,4.4,0.1,180
R0598,<0.01,0.03,1.3,0.09,7.5,4.4,0.06,129
R0599,<0.01,0.25,4.3,0.27,68.3,4.2,0.14,163
R0600,<0.01,0.05,1.7,0.13,77.2,9.1,0.07,117
R0601,0.31,0.75,21,5.19,67.4,126.5,0.33,195
R0602,<0.01,0.14,1.4,0.78,34.8,27.4,0.12,124
R0603,<0.01,0.04,18.3,0.18,22.5,8.4,0.21,60
R0604,0.01,0.06,3.3,0.13,18.6,8.8,0.06,66
R0605,<0.01,0.06,1.1,0.13,10.8,6.6,0.06,44
R0606,<0.01,0.06,4.2,0.42,29.6,9.6,0.08,82
R0607,0.01,0.11,6.9,0.3,40.5,6.6,0.19,31
R0608,<0.01,0.11,1.6,0.35,42.8,7,0.07,22
R0609,<0.01,0.1,1,0.15,18.2,6.7,0.09,53
R0610,<0.01,0.06,1.7,0.23,24.4,7.5,0.11,49
R0611,0.01,0.06,1.7,0.24,21.5,6.8,0.12,57
R0612,<0.01,0.06,1,0.16,25,5.9,0.09,46
R0613,<0.01,0.08,1.3,0.2,55.1,5.3,0.09,76
R0614,<0.01,0.27,1.2,0.38,145.5,4.4,0.08,99
R0615,<0.01,0.16,10.9,0.5,77.3,11.4,0.31,86
R0616,0.08,0.32,35.4,3.23,115,24.4,0.36,52
R0617,0.02,0.19,16.2,1.02,51.2,15.9,0.25,28
R0618,<0.01,0.09,15.3,1.59,43.7,9.8,0.18,52
R0619,<0.01,0.1,7,0.39,36.1,8.8,0.19,46
R0620,<0.01,0.1,6.7,0.4,43.6,7.6,0.16,31
R0621,<0.01,0.12,9.1,0.44,64.9,11.9,0.21,62
R0622,<0.01,0.1,6.4,0.37,36.7,7.5,0.13,39
R0623,<0.01,0.1,5.9,0.27,35.3,10.2,0.19,69
R0624,0.02,0.24,12.4,0.49,30.6,11.9,0.2,61
R0625,0.2,0.86,22.3,8.46,70.8,133.5,0.37,192
R0626,0.01,0.07,5.3,1.25,11.9,14,0.19,169
R0627,0.11,0.48,39.3,2.11,73.6,13.1,0.61,64
R0628,0.05,0.41,51.8,0.83,54.3,9.3,1.01,66
R0629,<0.01,0.21,11,0.32,100,4.9,0.25,163
R0630,<0.01,0.05,0.7,0.12,96.4,2.7,0.07,119
R0631,<0.01,0.08,2.6,0.33,56.9,6.1,0.1,139
R0632,<0.01,0.08,1.4,0.34,9.5,6.5,0.13,179
R0633,<0.01,0.07,5.3,1.64,11.9,13.6,0.18,173
R0634,<0.01,0.03,0.3,0.02,2.3,12.8,<0.05,5
R0635,0.01,0.19,45.7,0.83,49.7,35.2,0.7,191
R0636,0.01,0.14,24.5,0.5,100.5,18.3,0.25,441
R0637,0.01,0.09,8.4,0.44,57.7,8.8,0.28,321
R0638,<0.01,0.06,5.9,0.23,16.3,7.8,0.28,196
R0639,<0.01,0.05,1.2,2.1,9.8,5.3,0.12,163
R0640,<0.01,0.08,1.9,0.42,10.9,6.1,0.21,145
R0641,<0.01,0.05,1.1,0.22,7,6.1,0.12,167
R0642,<0.01,0.05,2.9,0.17,18.5,8.5,0.18,180
R0643,<0.01,0.09,18.1,0.18,93.2,7.5,0.46,191
R0644,0.01,0.16,29.5,0.36,54.4,46.2,0.39,180
R0645,0.01,0.17,66.5,0.41,31.7,30.7,0.81,141
R0646,0.01,0.23,48.6,0.45,68.1,24.2,0.51,245
R0647,0.01,0.28,74.2,0.55,51.7,29.2,1.36,156
R0648,0.01,0.23,10.6,0.16,80.6,5.3,0.27,121
R0649,<0.01,0.08,1.5,0.08,22.4,3.1,0.08,119
R0650,<0.01,0.06,1.3,0.07,6.7,11.5,0.07,106
R0651,0.01,0.24,48.9,0.44,67.9,24.6,0.56,235
R0652,<0.01,0.07,1,0.05,3.5,13.4,0.06,90
R0653,0.01,0.07,1.8,0.07,15.2,12.8,0.08,69
R0654,<0.01,0.06,0.9,0.07,33.1,20.5,<0.05,70
R0655,<0.01,0.04,0.8,0.1,36,14.6,0.05,81
R0656,<0.01,0.05,1,0.16,72.5,7.7,<0.05,70
R0657,0.01,0.08,1.8,0.09,176,10.3,0.05,53
R0658,<0.01,0.06,0.7,0.07,40.6,5.2,0.05,80
R0659,<0.01,0.04,0.6,0.04,14.5,3.5,0.05,68
R0660,<0.01,0.06,1,0.07,24.6,5.2,0.06,76
R0661,<0.01,0.08,1.1,0.06,72.7,6.3,0.06,67
R0662,<0.01,0.06,1.2,0.1,63.3,8.6,0.07,73
R0663,<0.01,0.07,0.8,0.04,45.2,5.8,0.08,66
R0664,<0.01,0.08,0.7,0.06,74.7,6.6,0.06,80
R0665,<0.01,0.06,1,0.13,39.4,4.9,0.06,83
R0666,<0.01,0.07,1.1,0.05,30.1,5.3,0.06,65
R0667,<0.01,0.06,0.7,0.1,24.1,4.7,0.07,68
R0668,<0.01,0.05,1,0.09,44.7,8.9,0.09,78
R0669,<0.01,0.06,0.9,0.07,14.6,6.9,0.06,48
R0670,<0.01,0.06,0.7,0.11,18.1,5.7,0.09,66
R0671,<0.01,0.08,1.6,0.12,25.9,18,0.1,75
R0672,<0.01,0.07,11.1,0.29,7.6,7.2,0.2,73
R0673,<0.01,0.07,0.7,0.25,13.9,4.9,0.08,69
R0674,<0.01,0.04,0.9,0.14,21,5.2,0.05,55
R0675,<0.01,0.04,1.6,0.29,16,5.5,0.11,73
R0676,0.01,0.71,49.8,1.68,36.2,50.9,0.53,153
R0677,0.02,0.1,1.4,0.13,46.2,6.2,0.06,79
R0678,<0.01,0.07,2.4,0.14,20.9,5.9,0.08,37
R0679,<0.01,0.04,2.2,0.22,14.9,6.4,0.08,83
R0680,<0.01,0.07,4.3,0.53,43.4,6,0.1,28
R0681,<0.01,0.03,3.5,0.25,22.4,3.4,0.16,42
R0682,<0.01,0.03,1.1,0.29,12.9,4.5,0.14,66
R0683,<0.01,0.07,1.9,0.24,46.3,6.3,0.1,66
R0684,<0.01,0.13,0.8,0.47,43.9,13.1,0.1,119
R0685,<0.01,0.07,4.2,0.3,35.8,5.2,0.12,53
R0686,0.01,0.1,9.1,0.39,74.6,19.7,0.14,193
R0687,0.01,0.14,5.7,0.76,101.5,11.1,0.22,172
R0688,1.1,0.42,28,23.4,130.5,4.8,0.16,41
R0689,0.02,0.32,26.6,5.04,84.4,20.5,0.44,277
R0690,0.02,0.5,62.4,0.56,85.6,15.5,0.71,133
R0691,0.13,0.18,28.1,0.61,23.4,8,0.25,148
R0692,0.01,0.16,10.9,0.83,15.7,10,0.29,135
R0693,<0.01,0.1,32.2,0.26,11.4,8.6,0.3,240
R0694,0.01,0.3,59.5,0.44,61.5,14.3,0.88,239
R0695,0.01,0.92,48.9,2.05,36.4,62.4,0.52,159
R0696,<0.01,0.01,0.4,0.02,2,12.7,<0.05,3
R0697,<0.01,0.12,8.5,0.27,43.1,10,0.34,407
R0698,<0.01,0.04,2.6,0.09,5.4,8.5,0.06,163
R0699,<0.01,0.03,0.6,0.04,2.3,2.3,0.05,80
R0700,<0.01,0.03,0.4,0.05,3.5,2.7,0.05,80
R0701,0.46,1.8,16.3,10.05,15,69.7,0.17,210
R0702,0.01,0.07,0.8,0.08,3,3,0.06,80
R0703,<0.01,0.02,0.4,0.08,9.4,3.1,<0.05,93
R0704,<0.01,0.03,0.7,0.08,3.3,2.9,<0.05,85
R0705,<0.01,0.03,0.3,0.05,1.8,2.6,<0.05,103
R0706,<0.01,0.03,0.5,0.05,3.4,2.6,0.06,93
R0707,<0.01,0.02,0.6,0.07,4.7,2.9,0.05,101
R0708,<0.01,0.02,0.4,0.1,5.4,3.1,0.05,143
R0709,<0.01,0.03,0.3,0.17,7.1,3.8,0.06,119
R0710,<0.01,0.03,0.4,0.11,11,4.3,0.05,114
R0711,<0.01,0.1,0.7,0.09,8.9,4.5,0.08,92
R0712,<0.01,0.12,0.6,0.07,11.6,4.3,0.08,76
R0713,<0.01,0.08,0.9,0.09,20,4.2,0.08,93
R0714,<0.01,0.09,0.7,0.07,14,3.5,0.08,89
R0715,0.01,0.15,0.8,0.08,4.5,3.5,0.09,111
R0716,0.05,0.16,10.3,0.34,8.4,4.6,0.11,71
R0717,0.06,0.15,12.8,0.68,5.4,11.3,0.17,122
R0718,0.25,3.12,15.5,7.55,14.9,66.2,0.23,204
R0719,<0.01,0.01,0.1,0.03,1.3,13.2,<0.05,4
R0720,<0.01,0.03,0.5,0.12,8,4.9,0.14,114
R0721,<0.01,0.06,0.5,0.23,17.7,8.6,0.13,125
R0722,<0.01,0.03,0.4,0.13,3,8,0.06,99
R0723,<0.01,0.03,0.4,0.14,1,5.8,0.08,120
R0724,0.01,0.06,0.5,0.06,5.3,6.7,0.11,129
R0725,<0.01,0.03,0.5,0.07,5.1,3.5,0.06,119
R0726,<0.01,0.02,0.5,0.09,8.2,4.5,0.08,115
R0727,0.01,0.02,0.4,0.08,11.6,4.9,0.07,111
R0728,<0.01,0.02,0.5,0.09,5.1,4.5,0.07,131
R0729,<0.01,0.03,0.4,0.1,6.5,3.9,0.09,118
R0730,<0.01,0.03,0.5,0.09,7.4,5.7,0.08,118
R0731,<0.01,0.04,0.6,0.13,15.5,6.3,0.07,134
R0732,<0.01,0.04,0.7,0.19,9,5.3,0.09,140
R0733,<0.01,0.05,0.6,0.19,6.4,5.1,0.1,140
R0734,<0.01,0.02,0.4,0.09,7,4.2,0.07,118
R0735,<0.01,0.03,0.7,0.38,4.6,3.9,0.17,122
R0736,<0.01,0.03,0.4,0.12,5,4.4,0.07,123
R0737,<0.01,0.03,0.6,0.08,6,3.8,0.08,111
R0738,<0.01,0.03,0.5,0.09,3.8,3.9,0.1,102
R0739,<0.01,0.02,0.7,0.14,7.4,3.1,0.07,102
R0740,<0.01,0.07,0.7,0.11,8.7,6.6,0.08,125
R0741,3.75,0.48,1.7,13.65,41.2,20.1,0.22,149
R0742,2.3,1.74,4.5,54.8,258,80.7,0.43,104
R0743,<0.01,0.01,<0.1,0.1,3.4,14.6,0.05,5
R0744,2.2,3.75,5.1,47.4,272,648,0.39,166
R0745,0.02,0.23,1.5,0.52,6.6,18.6,0.16,81
R0746,<0.01,0.05,0.8,0.14,2.5,7.3,0.08,54
R0747,<0.01,0.03,0.8,0.13,2.1,6.3,0.1,61
R0748,<0.01,0.06,0.8,0.25,7.3,6.6,0.12,71
R0749,<0.01,0.03,0.6,0.07,3.9,5.1,0.08,102
R0750,0.01,0.05,0.7,0.06,2.3,3.6,0.07,119
R0751,2.47,1.68,3.3,44,245,75.9,0.44,105
R0752,0.01,0.08,0.6,0.21,11.5,3.4,0.12,117
R0753,0.01,0.11,1.2,0.18,9.2,5,0.15,107
R0754,0.01,0.1,1,0.12,15.3,4.6,0.14,108
R0755,0.01,0.08,0.5,0.09,10,3.4,0.11,111
R0756,0.01,0.07,0.7,0.11,5.7,4.4,0.1,109
R0757,<0.01,0.08,0.5,0.13,14.2,6.7,0.1,120
R0758,<0.01,0.06,0.6,0.22,10,8.4,0.2,70
R0759,<0.01,0.04,0.5,0.08,7,5.1,0.09,123
R0760,<0.01,0.03,0.3,0.07,4.4,4.8,0.09,136
R0761,<0.01,0.03,0.3,0.07,4.9,5.4,0.11,93
R0762,<0.01,0.03,0.4,0.06,4.9,3.2,0.08,109
R0763,<0.01,0.03,0.3,0.09,8.5,3.3,0.07,117
R0764,<0.01,0.05,0.7,0.22,6.5,5.1,0.1,108
R0765,0.02,0.04,4.1,0.41,4.1,2.2,0.23,34
R0766,0.01,0.04,5.8,0.58,27.6,1.7,0.16,21
R0767,0.02,0.04,6.7,0.57,28.7,2.2,0.24,24
R0768,0.05,0.04,7.8,0.57,13.8,3,0.28,22
R0769,0.01,0.09,6.1,0.84,33.2,5.6,0.26,102
R0770,0.02,0.1,12.5,0.45,6.5,5.7,0.31,84
R0771,0.02,0.1,6.9,0.27,8.4,8.2,0.29,120
R0772,0.34,0.68,11.9,1.16,93.1,48.5,0.74,243
R0773,9.44,5.31,26,16.9,260,328,1.63,753
R0774,0.61,0.76,13.4,1.19,74.8,35.4,0.26,145
R0775,0.29,0.72,8.8,4.2,314,57.5,0.45,121
R0776,0.85,0.46,14,1.37,79.4,39.8,0.29,156
R0777,1.08,2.45,24.3,7.68,288,60.6,0.49,125
R0778,<0.01,0.01,0.2,0.03,2.4,11.8,0.05,3
R0779,0.4,0.34,2.3,1.89,62.4,26.3,0.17,88
R0780,0.13,0.36,3.3,1.21,45.2,103,0.26,46
R0781,<0.01,0.06,1,0.18,6.7,6.7,0.11,67
R0782,0.01,0.05,1.5,0.25,42.7,8.9,0.13,60
R0783,<0.01,0.12,7.1,0.29,51.5,9.1,0.23,103
R0784,<0.01,0.06,7.2,0.23,27.4,8.6,0.14,69
R0785,<0.01,0.11,7.2,0.25,44.5,8.7,0.2,68
R0786,<0.01,0.09,12.7,0.5,32.8,15.1,0.63,73
R0787,<0.01,0.09,7.4,0.31,33.6,9.2,0.3,76
R0788,<0.01,0.07,8.6,0.59,26,13.2,0.25,56
R0789,<0.01,0.08,7.1,1.19,51.7,10.1,0.19,55
R0790,<0.01,0.06,3.5,0.35,33.4,13.1,0.11,89
R0791,0.02,0.16,10.9,2.17,99.9,15.2,0.3,165
R0792,13.4,3.45,15.2,362,5340,129.5,0.55,166
R0793,0.31,0.37,20.2,16.15,581,18.5,0.4,70
R0794,0.02,0.09,14.6,1.36,87.9,6.4,0.24,47
R0795,<0.01,0.05,4.6,0.33,18.4,8.2,0.17,80
R0796,0.01,0.06,6.5,0.41,77.3,10.8,0.29,73
R0797,<0.01,0.06,5.8,0.44,66.4,8.9,0.23,40
R0798,<0.01,0.04,3.8,0.19,35.6,8.9,0.09,85
R0799,0.01,0.05,12.4,0.52,74.4,3.9,0.24,86
R0800,<0.01,0.04,2.1,0.13,122.5,2.9,0.13,123
R0801,12.85,2.91,14.6,356,5290,126.5,0.56,162
R0802,0.11,0.1,14.3,2.45,93.8,8.3,0.31,81
R0803,0.01,0.06,6.6,0.68,35.1,8.7,0.31,123
R0804,0.01,0.07,2.6,0.41,21.5,8.4,0.34,151
R0805,0.02,0.12,6.5,0.49,59.2,10.5,0.41,232
R0806,0.01,0.13,32.5,0.3,24.1,13.1,0.55,151
R0807,0.01,0.07,2.9,0.19,12.3,5.2,0.28,145
R0808,0.01,0.1,2.8,0.21,18.8,5.1,0.13,113
R0809,0.01,0.08,3.9,0.28,41.4,6.8,0.11,155
R0810,<0.01,0.09,2.5,0.19,22.5,5.2,0.12,158
R0811,<0.01,0.07,4.8,0.17,30,7,0.25,188
R0812,0.01,0.11,18.7,0.23,104.5,8.2,0.58,163
R0813,0.01,0.3,9.9,1.17,361,68.3,0.31,176
R0814,<0.01,0.03,1.8,0.07,20.8,5.4,0.1,92
R0815,<0.01,0.04,3.8,0.14,39.3,3,0.22,165
