Sample ID,Au,Ag,As,Bi,Cu,Pb,Sb,Zn
C0093,<0.01,0.12,4,0.06,4.8,4.4,0.21,160
C0094,<0.01,0.06,1.6,0.16,23.7,2.8,0.09,65
C0095,<0.01,0.04,1.6,0.06,15.6,4.8,0.14,20
C0096,<0.01,0.05,0.5,0.17,24.4,4.2,0.08,17
C0097,<0.01,0.16,1,0.08,13,5.4,0.21,21
C0098,<0.01,0.09,1.8,0.18,14.6,8.1,0.42,53
C0099,<0.01,0.06,1.6,0.13,14.5,7.3,0.31,39
C0100,<0.01,0.08,6,0.28,34.3,12.8,0.31,88
C0101,<0.01,0.11,9.7,0.28,26.7,9.9,0.71,29
C0102,<0.01,0.07,6.9,0.11,29.4,7.6,0.48,97
C0103,<0.01,0.07,0.7,0.05,22.1,6.5,0.1,14
C0104,<0.01,0.29,5.5,0.04,44.8,140,0.11,30
C0105,<0.01,0.27,1.9,0.06,24.9,167,0.07,44
C0106,0.01,0.33,6.3,0.13,95.9,13.5,0.17,46
C0107,0.01,0.41,0.6,0.44,83.6,37.1,0.12,44
C0108,0.04,0.91,11.5,1.37,72,79.8,0.4,55
C0109,0.05,1.08,12.9,1.33,67.8,69,0.37,46
C0110,<0.01,0.02,0.4,0.03,11,27.2,0.07,7
C0111,0.03,0.29,35,2.38,32.6,4,0.18,18
C0112,0.01,0.14,7.9,0.27,26,2.2,0.13,16
C0113,0.01,0.11,3.6,0.33,22.5,1.7,0.14,25
C0114,0.01,0.18,4.4,0.21,19,3.8,0.11,20
C0115,0.01,0.13,4.6,0.14,31.2,28.3,0.12,48
C0116,0.01,0.06,2.4,0.04,14.5,14.5,0.1,32
C0117,0.01,0.08,3.3,0.42,60.1,38,0.08,40
C0118,0.03,0.07,11.5,0.53,26.7,7.3,0.12,12
C0119,0.31,0.14,59.7,2.34,68.1,2.4,0.1,36
C0120,0.05,0.28,19.8,2.37,46,20.5,0.11,64
C0121,0.11,0.2,13.4,0.72,24,66.9,0.14,90
C0122,0.07,0.13,8.1,0.61,11.5,22.5,0.08,23
C0123,0.05,0.15,5,0.27,16,22.9,0.07,47
C0124,0.02,0.07,11.3,0.07,17.5,3.5,0.14,18
C0125,0.22,0.12,18.5,0.24,6.8,6.5,0.12,51
C0126,0.24,0.22,28,0.78,6.2,25.2,0.14,75
C0127,0.86,0.72,72.5,0.18,5.5,10.4,0.18,38
