,au_ppm,as_ppm,sb_ppm,bi_ppm,cu_ppm,zn_ppm,pb_ppm,ag_ppm
au_ppm,1.0,-0.06860762105730281,0.46660425113023907,0.17238745929651278,0.050891515180427276,-0.25035326687332027,0.04965191547865789,0.305170207491283
as_ppm,-0.06860762105730281,1.0,-0.12291705616529493,0.10432458585025757,0.09142730753230137,0.14835854202016613,0.13871400929614575,0.05290539223151724
sb_ppm,0.46660425113023907,-0.12291705616529493,1.0,0.05312357166452337,-0.06238195366749168,-0.2762812292770531,0.023461624436659712,0.3342060671253806
bi_ppm,0.17238745929651278,0.10432458585025757,0.05312357166452337,1.0,0.3482107035091052,0.030767566448448025,0.17501224425033501,0.25982368161903285
cu_ppm,0.050891515180427276,0.09142730753230137,-0.06238195366749168,0.3482107035091052,1.0,0.09350472378639936,0.11060260212268924,0.21406146038913568
zn_ppm,-0.25035326687332027,0.14835854202016613,-0.2762812292770531,0.030767566448448025,0.09350472378639936,1.0,0.6073241766341694,0.14795515672741924
pb_ppm,0.04965191547865789,0.13871400929614575,0.023461624436659712,0.17501224425033501,0.11060260212268924,0.6073241766341694,1.0,0.555971844263963
ag_ppm,0.305170207491283,0.05290539223151724,0.3342060671253806,0.25982368161903285,0.21406146038913568,0.14795515672741924,0.555971844263963,1.0
